plate,part,solid,category,scale,x_mm,y_mm,size_x_mm,size_y_mm,size_z_mm
plate_01_quarter_scale_polyhedra,archimedean_08_icosidodecahedron.stl,Icosidodecahedron,archimedean,0.2500,-133.8,-130.5,33.4,35.0,30.1
plate_01_quarter_scale_polyhedra,catalan_09_triakis_icosahedron.stl,Triakis Icosahedron,catalan,0.2500,-95.3,-130.6,31.7,34.9,29.9
plate_01_quarter_scale_polyhedra,catalan_11_deltoidal_hexecontahedron.stl,Deltoidal Hexecontahedron,catalan,0.2500,-56.0,-130.9,34.9,34.1,32.5
plate_01_quarter_scale_polyhedra,archimedean_13_truncated_icosidodecahedron.stl,Truncated Icosidodecahedron,archimedean,0.2500,-15.3,-130.6,34.7,34.8,31.9
plate_01_quarter_scale_polyhedra,archimedean_11_rhombicosidodecahedron.stl,Rhombicosidodecahedron,archimedean,0.2500,25.5,-131.1,34.8,33.8,32.5
plate_01_quarter_scale_polyhedra,archimedean_09_truncated_dodecahedron.stl,Truncated Dodecahedron,archimedean,0.2500,66.2,-130.6,34.7,34.8,29.7
plate_01_quarter_scale_polyhedra,archimedean_12_snub_dodecahedron.stl,Snub Dodecahedron,archimedean,0.2500,106.9,-130.8,34.6,34.3,32.3
plate_01_quarter_scale_polyhedra,archimedean_10_truncated_icosahedron.stl,Truncated Icosahedron,archimedean,0.2500,-133.4,-89.8,34.3,34.5,32.2
plate_01_quarter_scale_polyhedra,catalan_10_pentakis_dodecahedron.stl,Pentakis Dodecahedron,catalan,0.2500,-93.7,-89.8,33.0,34.4,32.3
plate_01_quarter_scale_polyhedra,platonic_05_icosahedron.stl,Icosahedron,platonic,0.2500,-55.7,-89.9,31.0,34.3,28.3
plate_01_quarter_scale_polyhedra,platonic_04_dodecahedron.stl,Dodecahedron,platonic,0.2500,-17.4,-90.0,33.7,34.2,28.3
plate_01_quarter_scale_polyhedra,catalan_03_triakis_octahedron.stl,Triakis Octahedron,catalan,0.2500,18.4,-90.0,25.8,34.2,25.0
plate_01_quarter_scale_polyhedra,catalan_08_rhombic_triacontahedron.stl,Rhombic Triacontahedron,catalan,0.2500,54.2,-91.0,34.0,32.0,30.1
plate_01_quarter_scale_polyhedra,catalan_04_tetrakis_hexahedron.stl,Tetrakis Hexahedron,catalan,0.2500,94.2,-91.3,34.0,31.5,28.1
plate_01_quarter_scale_polyhedra,archimedean_06_snub_cube.stl,Snub Cube,archimedean,0.2500,-133.6,-49.6,33.8,33.8,30.1
plate_01_quarter_scale_polyhedra,archimedean_04_truncated_octahedron.stl,Truncated Octahedron,archimedean,0.2500,-93.8,-50.1,33.7,32.9,27.6
plate_01_quarter_scale_polyhedra,archimedean_07_truncated_cuboctahedron.stl,Truncated Cuboctahedron,archimedean,0.2500,-54.2,-49.7,33.6,33.6,29.3
plate_01_quarter_scale_polyhedra,catalan_06_pentagonal_icositetrahedron.stl,Pentagonal Icositetrahedron,catalan,0.2500,-14.6,-50.4,33.5,32.2,31.5
plate_01_quarter_scale_polyhedra,catalan_12_pentagonal_hexecontahedron.stl,Pentagonal Hexecontahedron,catalan,0.2500,24.8,-50.0,33.3,32.9,32.8
plate_01_quarter_scale_polyhedra,archimedean_03_truncated_cube.stl,Truncated Cube,archimedean,0.2500,64.0,-50.0,33.1,33.1,24.5
plate_01_quarter_scale_polyhedra,catalan_05_deltoidal_icositetrahedron.stl,Deltoidal Icositetrahedron,catalan,0.2500,102.9,-50.6,32.8,31.8,30.6
plate_01_quarter_scale_polyhedra,archimedean_05_rhombicuboctahedron.stl,Rhombicuboctahedron,archimedean,0.2500,-134.2,-10.4,32.6,32.6,30.5
plate_01_quarter_scale_polyhedra,catalan_13_disdyakis_triacontahedron.stl,Disdyakis Triacontahedron,catalan,0.2500,-95.9,-10.5,32.1,32.3,32.6
plate_01_quarter_scale_polyhedra,archimedean_01_truncated_tetrahedron.stl,Truncated Tetrahedron,archimedean,0.2500,-58.2,-11.0,31.3,31.3,25.1
plate_01_quarter_scale_polyhedra,catalan_07_disdyakis_dodecahedron.stl,Disdyakis Dodecahedron,catalan,0.2500,-21.5,-11.4,30.2,30.5,30.5
plate_01_quarter_scale_polyhedra,catalan_02_rhombic_dodecahedron.stl,Rhombic Dodecahedron,catalan,0.2500,14.7,-11.6,30.2,30.2,25.4
plate_01_quarter_scale_polyhedra,catalan_01_triakis_tetrahedron.stl,Triakis Tetrahedron,catalan,0.2500,49.9,-13.2,28.3,27.0,24.4
plate_01_quarter_scale_polyhedra,platonic_01_tetrahedron.stl,Tetrahedron,platonic,0.2500,84.1,-12.6,28.1,28.1,24.1
plate_01_quarter_scale_polyhedra,platonic_03_octahedron.stl,Octahedron,platonic,0.2500,118.2,-12.6,28.1,28.1,21.2
plate_01_quarter_scale_polyhedra,platonic_02_cube.stl,Cube,platonic,0.2500,-137.5,24.9,26.0,26.0,21.2
plate_01_quarter_scale_polyhedra,archimedean_02_cuboctahedron.stl,Cuboctahedron,archimedean,0.2500,-105.8,24.6,25.5,25.4,25.4
