time/fps,time/total_timesteps,time/time_elapsed,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,train/std,train/learning_rate,train/approx_kl,train/loss,train/clip_range,train/n_updates,train/explained_variance,train/policy_gradient_loss,train/entropy_loss,train/clip_fraction,train/value_loss
5877,16384,2,1,326.3436279296875,300.0,,,,,,,,,,,
5509,32768,5,2,331.59796142578125,300.0,0.22279776632785797,0.0003,0.02654557,0.18494683504104614,0.2,10,-0.33841967582702637,-0.01574503183364868,1.476648074761033,0.32471923828125,0.2304731655283831
5396,49152,9,3,310.9651794433594,300.0,0.22258800268173218,0.0003,0.027965963,-0.012896902859210968,0.2,20,0.37610840797424316,-0.017098279622587143,1.4978753499686719,0.316119384765625,0.028031376539729536
5337,65536,12,4,314.51202392578125,300.0,0.2222648710012436,0.0003,0.025365515,-0.020207732915878296,0.2,30,0.7837913036346436,-0.01767523908201838,1.5252170883119107,0.3188720703125,0.022684134167502635
5290,81920,15,5,331.25762939453125,300.0,0.22236670553684235,0.0003,0.026786197,-0.0192794818431139,0.2,40,0.8687107563018799,-0.017836656971485353,1.519971138238907,0.317205810546875,0.020227136748144404
5332,98304,18,6,339.2704162597656,300.0,0.22233432531356812,0.0003,0.028630527,-0.02707977592945099,0.2,50,0.8938463926315308,-0.020450548421649728,1.5202730316668749,0.337005615234375,0.018696746276691555
5320,114688,21,7,334.62347412109375,300.0,0.22172433137893677,0.0003,0.030879386,-0.02390250191092491,0.2,60,0.928085207939148,-0.02017640025114815,1.5609020493924617,0.34561767578125,0.015282309139729477
5308,131072,24,8,310.5604553222656,300.0,0.221463143825531,0.0003,0.028595734,-0.02674585022032261,0.2,70,0.9336960911750793,-0.019486198019149015,1.5927328050136567,0.3456298828125,0.018749422978726216
5310,147456,27,9,315.4611511230469,300.0,0.22142702341079712,0.0003,0.032217383,-0.03598204627633095,0.2,80,0.9430833458900452,-0.02239217303285841,1.595797435566783,0.362664794921875,0.017606874779448844
5308,163840,30,10,339.8991394042969,300.0,0.22127844393253326,0.0003,0.031410508,-0.018084362149238586,0.2,90,0.9689865708351135,-0.019968838400382084,1.6006231740117074,0.348040771484375,0.014190715123550034
5301,180224,33,11,334.87554931640625,300.0,0.2207861989736557,0.0003,0.032269273,-0.015143869444727898,0.2,100,0.9689303040504456,-0.02034957244322868,1.64117044582963,0.36029052734375,0.01432448321429547
5295,196608,37,12,332.3216857910156,300.0,0.2206505388021469,0.0003,0.03151135,-0.024654431268572807,0.2,110,0.965399980545044,-0.019950756262551293,1.6627851091325283,0.350982666015625,0.015058032510569318
