time/total_timesteps,time/iterations,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/fps,train/value_loss,train/std,train/learning_rate,train/explained_variance,train/policy_gradient_loss,train/clip_fraction,train/loss,train/approx_kl,train/clip_range,train/n_updates,train/entropy_loss
16384,1,-1.7770209312438965,2,18.65,5661,,,,,,,,,,,
32768,2,-1.0992969274520874,6,18.92,5216,0.9852747021242976,1.0000349283218384,0.0003,-0.13692021369934082,-0.024757526399480412,0.18524169921875,0.4009166955947876,0.015970115,0.2,10,-25.537522792816162
49152,3,-0.02134694531559944,9,18.88,5091,0.9119647383689881,1.0011591911315918,0.0003,0.08988893032073975,-0.026295625358761752,0.189312744140625,0.21455301344394684,0.01569266,0.2,20,-25.55805762410164
65536,4,0.4055916965007782,13,19.97,5013,0.8132409190759062,1.001016616821289,0.0003,0.08480864763259888,-0.028396991747285938,0.197381591796875,0.13651159405708313,0.01599828,0.2,30,-25.55999962091446
81920,5,0.24615907669067383,16,23.18,4943,0.7993512127548457,0.9996167421340942,0.0003,0.1274644136428833,-0.030624208168592303,0.211492919921875,0.23668767511844635,0.016564101,0.2,40,-25.53879405260086
98304,6,0.3868955969810486,20,22.76,4898,0.7524216962978244,0.9984573721885681,0.0003,0.12017029523849487,-0.03175560530362418,0.208978271484375,0.15823182463645935,0.016635885,0.2,50,-25.5212562918663
114688,7,0.7423477172851562,23,25.03,4860,0.6927679440006613,0.9976308345794678,0.0003,0.14100205898284912,-0.03301912199021899,0.215118408203125,0.1573731005191803,0.016738031,0.2,60,-25.503502064943312
131072,8,3.577444076538086,27,28.39,4822,0.7069025515578687,0.9972474575042725,0.0003,0.1353350281715393,-0.03259578263750882,0.208612060546875,0.12942606210708618,0.015528001,0.2,70,-25.494665670394898
147456,9,2.9590489864349365,30,31.16,4786,0.6614458006806672,0.9959215521812439,0.0003,0.15595436096191406,-0.03597647128699464,0.22203369140625,0.14238423109054565,0.01643126,0.2,80,-25.467597287893295
163840,10,4.5108513832092285,34,36.75,4756,0.6889624243602157,0.9953925013542175,0.0003,0.12928777933120728,-0.03505420214496553,0.219342041015625,0.1445375382900238,0.016882326,0.2,90,-25.45940754413605
180224,11,4.999727725982666,38,41.25,4725,0.6802177060395479,0.9937416911125183,0.0003,0.15266937017440796,-0.03639624489005655,0.216632080078125,0.1382577121257782,0.016395,0.2,100,-25.4323548078537
196608,12,7.268783092498779,41,44.84,4702,0.5619053256697952,0.9915065765380859,0.0003,0.1929241418838501,-0.036404564624535854,0.20889892578125,0.0696420967578888,0.015824918,0.2,110,-25.394810438156128
212992,13,13.062518119812012,45,65.39,4679,0.49021260822191837,0.9885542988777161,0.0003,0.24392449855804443,-0.03850617553907796,0.215625,0.009718522429466248,0.01595624,0.2,120,-25.34616482257843
229376,14,14.282130241394043,49,79.38,4654,0.46757168164476753,0.9858236312866211,0.0003,0.3052419424057007,-0.03959376988423173,0.21951904296875,0.027372285723686218,0.01722826,0.2,130,-25.2923405110836
245760,15,16.21013641357422,53,90.84,4627,0.4134498474188149,0.9841909408569336,0.0003,0.37465977668762207,-0.04043200576852542,0.23023681640625,-0.006222635507583618,0.017262105,0.2,140,-25.260243064165117
262144,16,28.145801544189453,56,130.88,4601,0.35417358875274657,0.9814266562461853,0.0003,0.4624525308609009,-0.04028783031972125,0.2234130859375,-0.03701438009738922,0.017104827,0.2,150,-25.210336846113204
278528,17,31.473983764648438,60,139.74,4578,0.30293122786097226,0.9820077419281006,0.0003,0.45968014001846313,-0.04062335233611521,0.221044921875,-0.052252620458602905,0.017362673,0.2,160,-25.2131219625473
294912,18,41.479496002197266,64,166.08,4559,0.27681322749704124,0.9793606996536255,0.0003,0.5230535268783569,-0.040404026383475865,0.21827392578125,-0.07761678099632263,0.016900647,0.2,170,-25.172653084993364
311296,19,47.610713958740234,68,186.72,4540,0.24628497585654258,0.9783087968826294,0.0003,0.585451602935791,-0.04125584564317251,0.2233642578125,-0.08482614159584045,0.01707492,0.2,180,-25.149554872512816
327680,20,47.81732940673828,72,200.23,4532,0.18901671078056098,0.9762650728225708,0.0003,0.681477427482605,-0.040813091149902905,0.221258544921875,-0.10564292222261429,0.017010655,0.2,190,-25.113460493087768
344064,21,54.522804260253906,76,229.19,4522,0.18630826799198985,0.9748465418815613,0.0003,0.7424101233482361,-0.042114102753839686,0.2312255859375,-0.11706697940826416,0.017946964,0.2,200,-25.09017520546913
360448,22,65.13374328613281,79,261.61,4510,0.14619421935640275,0.9731577634811401,0.0003,0.7659721970558167,-0.041503202492458514,0.21719970703125,-0.13193145394325256,0.017150193,0.2,210,-25.0552659869194
