Loaded env config from env_cfg.json: gait_period=0.85, residual_scale=0.05, filter_tau=0.08
Loaded VecNormalize stats from hexapod_walker/policies/walker_v4/vec_normalize.pkl
Loaded policy hexapod_walker/policies/walker_v4/walker_v4.zip
Trained-policy rollout.  Arrow keys / PgUp/PgDn drive the command.
  command:  vx=+0.40  vy=+0.00  ω=+0.00
  t=  0.02s  pos=( +0.00, -0.00,+0.19)  reward=+1.504
  t=  1.02s  pos=( +0.27, -0.01,+0.15)  reward=+2.249
  t=  2.04s  pos=( +0.59, -0.00,+0.16)  reward=+2.227
  t=  3.06s  pos=( +0.95, -0.01,+0.15)  reward=+2.244
  t=  4.08s  pos=( +1.27, -0.01,+0.16)  reward=+1.264
  t=  5.10s  pos=( +1.60, -0.01,+0.17)  reward=+2.157
  t=  6.12s  pos=( +1.94, -0.00,+0.17)  reward=+1.844
  t=  7.14s  pos=( +2.24, +0.01,+0.19)  reward=+2.064
  t=  8.16s  pos=( +2.58, +0.02,+0.20)  reward=+2.150
  t=  9.16s  pos=( +2.90, +0.03,+0.21)  reward=+1.771
  t= 10.16s  pos=( +3.21, +0.04,+0.23)  reward=+2.199
  t= 11.16s  pos=( +3.56, +0.08,+0.23)  reward=+1.199
  t= 12.16s  pos=( +3.89, +0.12,+0.25)  reward=+1.488
  t= 13.16s  pos=( +4.15, +0.13,+0.25)  reward=+1.772
  t= 14.16s  pos=( +4.29, +0.11,+0.24)  reward=+0.729
  t= 15.16s  pos=( +4.32, +0.09,+0.26)  reward=+0.027
  t= 16.16s  pos=( +4.33, +0.08,+0.25)  reward=+1.464
  t= 17.18s  pos=( +4.37, +0.07,+0.24)  reward=+1.065
  t= 18.20s  pos=( +4.41, +0.06,+0.25)  reward=+0.050
  t= 19.22s  pos=( +4.44, +0.05,+0.25)  reward=+0.034
  t= 20.24s  pos=( +4.44, +0.04,+0.27)  reward=+0.741
  t= 21.26s  pos=( +4.42, +0.03,+0.26)  reward=+1.596
  t= 22.28s  pos=( +4.47, +0.02,+0.25)  reward=+1.042
  t= 23.30s  pos=( +4.51, +0.02,+0.26)  reward=+1.528
  t= 24.32s  pos=( +4.53, +0.00,+0.25)  reward=+1.493
  t= 25.34s  pos=( +4.52, -0.01,+0.27)  reward=+0.922
  t= 26.36s  pos=( +4.50, -0.02,+0.25)  reward=+1.006
  t= 27.38s  pos=( +4.55, -0.03,+0.25)  reward=+0.881
  t= 28.40s  pos=( +4.57, -0.03,+0.26)  reward=+1.315
  t= 29.42s  pos=( +4.59, -0.04,+0.26)  reward=+0.195
  t= 30.44s  pos=( +4.58, -0.05,+0.27)  reward=+0.237
  t= 31.46s  pos=( +4.56, -0.06,+0.26)  reward=+1.561
  t= 32.46s  pos=( +4.61, -0.07,+0.25)  reward=+1.716
  t= 33.46s  pos=( +4.64, -0.08,+0.26)  reward=+1.633
  t= 34.46s  pos=( +4.65, -0.08,+0.26)  reward=+1.491
  t= 35.46s  pos=( +4.66, -0.09,+0.27)  reward=+0.325
  t= 36.46s  pos=( +4.62, -0.10,+0.27)  reward=-1.047
