time/iterations,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/fps,time/total_timesteps,train/clip_fraction,train/loss,train/std,train/n_updates,train/approx_kl,train/entropy_loss,train/learning_rate,train/clip_range,train/policy_gradient_loss,train/value_loss,train/explained_variance
1,300.0,2,337.8502197265625,6263,16384,,,,,,,,,,,
2,300.0,5,343.6877746582031,5769,32768,0.355328369140625,0.21089543402194977,0.18256418406963348,10,0.030092688,5.068026997148991,0.0003,0.2,-0.011632940080016852,0.24622378998901695,-0.29023241996765137
3,300.0,8,321.4939880371094,5594,49152,0.353875732421875,-0.007971439510583878,0.1822565346956253,20,0.031622663,5.089611904323101,0.0003,0.2,-0.015014510586479447,0.02577498026366811,0.3660663962364197
4,300.0,11,321.9184265136719,5506,65536,0.352239990234375,-0.02726261131465435,0.182028129696846,30,0.03171376,5.120586474239826,0.0003,0.2,-0.014285597826528829,0.02226395460020285,0.7823007702827454
5,300.0,15,337.5684814453125,5454,81920,0.362152099609375,-0.02773784101009369,0.18205344676971436,40,0.032767877,5.116324074566364,0.0003,0.2,-0.017316917165589984,0.019435213136603124,0.8689303994178772
6,300.0,17,349.5902404785156,5503,98304,0.3713623046875,-0.03919811174273491,0.18202373385429382,50,0.035522014,5.118958653509617,0.0003,0.2,-0.01744094005480292,0.016292938255355695,0.897379457950592
7,300.0,20,345.9822998046875,5488,114688,0.375469970703125,-0.006196391768753529,0.18170000612735748,60,0.036115184,5.1496884897351265,0.0003,0.2,-0.0161603861299227,0.013421184092294425,0.9326277375221252
8,300.0,23,327.8359375,5485,131072,0.37991943359375,-0.024053379893302917,0.181509867310524,70,0.036433816,5.165677352249622,0.0003,0.2,-0.0180490392853244,0.015411198578658514,0.9468363523483276
9,300.0,26,330.1182861328125,5486,147456,0.391339111328125,-0.015242356806993484,0.1817140132188797,80,0.03524006,5.158343361318112,0.0003,0.2,-0.01812864485254977,0.013319256651448086,0.9478104710578918
10,300.0,29,348.39080810546875,5492,163840,0.38909912109375,-0.027082372456789017,0.18138422071933746,90,0.03713627,5.173388594388962,0.0003,0.2,-0.017399553929863032,0.012605063870432786,0.9666635990142822
11,300.0,32,344.6746520996094,5462,180224,0.3854736328125,-0.017960213124752045,0.18077149987220764,100,0.035886884,5.231740474700928,0.0003,0.2,-0.017524549382505937,0.012305701413424686,0.9679880142211914
