plate,plate_material,part,copy,x_mm,y_mm,rotate_z_deg
plate_01_chassis_top,PLA/PETG rigid,chassis_top.stl,1,0.0,0.0,0
plate_02_chassis_bottom,PLA/PETG rigid,chassis_bottom.stl,1,0.0,0.0,0
plate_03_rigid_long_links,PLA/PETG rigid,tibia_link.stl,1,-120.0,-70.0,90
plate_03_rigid_long_links,PLA/PETG rigid,tibia_link.stl,2,-72.0,-70.0,90
plate_03_rigid_long_links,PLA/PETG rigid,tibia_link.stl,3,-24.0,-70.0,90
plate_03_rigid_long_links,PLA/PETG rigid,tibia_link.stl,4,24.0,-70.0,90
plate_03_rigid_long_links,PLA/PETG rigid,tibia_link.stl,5,72.0,-70.0,90
plate_03_rigid_long_links,PLA/PETG rigid,tibia_link.stl,6,120.0,-70.0,90
plate_03_rigid_long_links,PLA/PETG rigid,femur_link.stl,1,-135.0,78.0,90
plate_03_rigid_long_links,PLA/PETG rigid,femur_link.stl,2,-81.0,78.0,90
plate_03_rigid_long_links,PLA/PETG rigid,femur_link.stl,3,-27.0,78.0,90
plate_03_rigid_long_links,PLA/PETG rigid,femur_link.stl,4,27.0,78.0,90
plate_03_rigid_long_links,PLA/PETG rigid,femur_link.stl,5,81.0,78.0,90
plate_03_rigid_long_links,PLA/PETG rigid,femur_link.stl,6,135.0,78.0,90
plate_04_rigid_battery_electronics,PLA/PETG rigid,battery_holder.stl,1,-84.0,0.0,0
plate_04_rigid_battery_electronics,PLA/PETG rigid,electronics_tray.stl,1,59.0,0.0,0
plate_05_rigid_coxa_brackets_links,PLA/PETG rigid,coxa_bracket.stl,1,-117.5,-122.0,0
plate_05_rigid_coxa_brackets_links,PLA/PETG rigid,coxa_bracket.stl,2,-43.5,-122.0,0
plate_05_rigid_coxa_brackets_links,PLA/PETG rigid,coxa_bracket.stl,3,30.5,-122.0,0
plate_05_rigid_coxa_brackets_links,PLA/PETG rigid,coxa_bracket.stl,4,104.5,-122.0,0
plate_05_rigid_coxa_brackets_links,PLA/PETG rigid,coxa_bracket.stl,5,-117.5,-62.0,0
plate_05_rigid_coxa_brackets_links,PLA/PETG rigid,coxa_bracket.stl,6,-43.5,-62.0,0
plate_05_rigid_coxa_brackets_links,PLA/PETG rigid,coxa_link.stl,1,29.0,-65.0,0
plate_05_rigid_coxa_brackets_links,PLA/PETG rigid,coxa_link.stl,2,101.0,-65.0,0
plate_05_rigid_coxa_brackets_links,PLA/PETG rigid,coxa_link.stl,3,29.0,-11.0,0
plate_05_rigid_coxa_brackets_links,PLA/PETG rigid,coxa_link.stl,4,101.0,-11.0,0
plate_05_rigid_coxa_brackets_links,PLA/PETG rigid,coxa_link.stl,5,-119.0,-5.0,0
plate_05_rigid_coxa_brackets_links,PLA/PETG rigid,coxa_link.stl,6,-47.0,-5.0,0
plate_06_tpu_foot_pads,TPU 95A,foot_pad.stl,1,-90.0,0.0,0
plate_06_tpu_foot_pads,TPU 95A,foot_pad.stl,2,-54.0,0.0,0
plate_06_tpu_foot_pads,TPU 95A,foot_pad.stl,3,-18.0,0.0,0
plate_06_tpu_foot_pads,TPU 95A,foot_pad.stl,4,18.0,0.0,0
plate_06_tpu_foot_pads,TPU 95A,foot_pad.stl,5,54.0,0.0,0
plate_06_tpu_foot_pads,TPU 95A,foot_pad.stl,6,90.0,0.0,0
