plate,plate_material,part,copy,x_mm,y_mm,rotate_z_deg
plate_01_chassis_top,PLA/PETG rigid,chassis_top.stl,1,0.0,0.0,0
plate_02_chassis_bottom,PLA/PETG rigid,chassis_bottom.stl,1,0.0,0.0,0
plate_03_rigid_coxa_links_a,PLA/PETG rigid,yaw_servo_retainer.stl,1,-81.5,-104.0,0
plate_03_rigid_coxa_links_a,PLA/PETG rigid,yaw_servo_retainer.stl,2,-6.5,-104.0,0
plate_03_rigid_coxa_links_a,PLA/PETG rigid,yaw_servo_retainer.stl,3,68.5,-104.0,0
plate_03_rigid_coxa_links_a,PLA/PETG rigid,yaw_servo_retainer.stl,4,-81.5,-75.0,0
plate_03_rigid_coxa_links_a,PLA/PETG rigid,yaw_servo_retainer.stl,5,-6.5,-75.0,0
plate_03_rigid_coxa_links_a,PLA/PETG rigid,yaw_servo_retainer.stl,6,68.5,-75.0,0
plate_03_rigid_coxa_links_a,PLA/PETG rigid,coxa_hip_bracket.stl,1,-83.3,-39.4,0
plate_03_rigid_coxa_links_a,PLA/PETG rigid,coxa_hip_bracket.stl,2,-12.3,-39.4,0
plate_03_rigid_coxa_links_a,PLA/PETG rigid,coxa_hip_bracket.stl,3,58.7,-39.4,0
plate_03_rigid_coxa_links_a,PLA/PETG rigid,coxa_hip_bracket.stl,4,-83.3,3.6,0
plate_03_rigid_coxa_links_a,PLA/PETG rigid,coxa_hip_bracket.stl,5,-12.3,3.6,0
plate_03_rigid_coxa_links_a,PLA/PETG rigid,coxa_hip_bracket.stl,6,58.7,3.6,0
plate_03_rigid_coxa_links_a,PLA/PETG rigid,servo_clamp_cap.stl,1,-84.3,47.1,0
plate_03_rigid_coxa_links_a,PLA/PETG rigid,servo_clamp_cap.stl,2,-15.3,47.1,0
plate_03_rigid_coxa_links_a,PLA/PETG rigid,servo_clamp_cap.stl,3,53.7,47.1,0
plate_03_rigid_coxa_links_a,PLA/PETG rigid,servo_clamp_cap.stl,4,-84.3,91.1,0
plate_03_rigid_coxa_links_a,PLA/PETG rigid,servo_clamp_cap.stl,5,-15.3,91.1,0
plate_03_rigid_coxa_links_a,PLA/PETG rigid,servo_clamp_cap.stl,6,53.7,91.1,0
plate_03_rigid_coxa_links_b,PLA/PETG rigid,coxa_yaw_hub.stl,1,-90.2,-90.2,0
plate_03_rigid_coxa_links_b,PLA/PETG rigid,coxa_yaw_hub.stl,2,-33.2,-90.2,0
plate_03_rigid_coxa_links_b,PLA/PETG rigid,coxa_yaw_hub.stl,3,23.8,-90.2,0
plate_03_rigid_coxa_links_b,PLA/PETG rigid,coxa_yaw_hub.stl,4,80.8,-90.2,0
plate_03_rigid_coxa_links_b,PLA/PETG rigid,coxa_yaw_hub.stl,5,-90.2,-33.2,0
plate_03_rigid_coxa_links_b,PLA/PETG rigid,coxa_yaw_hub.stl,6,-33.2,-33.2,0
plate_04_rigid_femur_sockets_a,PLA/PETG rigid,femur_knee_bracket.stl,1,-74.3,-93.4,0
plate_04_rigid_femur_sockets_a,PLA/PETG rigid,femur_knee_bracket.stl,2,14.7,-93.4,0
plate_04_rigid_femur_sockets_a,PLA/PETG rigid,femur_knee_bracket.stl,3,84.6,-74.3,90
plate_04_rigid_femur_sockets_a,PLA/PETG rigid,femur_knee_bracket.stl,4,-74.3,-42.4,0
plate_04_rigid_femur_sockets_a,PLA/PETG rigid,femur_knee_bracket.stl,5,14.7,-42.4,0
plate_04_rigid_femur_sockets_a,PLA/PETG rigid,femur_knee_bracket.stl,6,84.6,14.7,90
plate_04_rigid_femur_sockets_a,PLA/PETG rigid,servo_clamp_cap.stl,1,-84.3,5.1,0
plate_04_rigid_femur_sockets_a,PLA/PETG rigid,servo_clamp_cap.stl,2,-15.3,5.1,0
plate_04_rigid_femur_sockets_a,PLA/PETG rigid,servo_clamp_cap.stl,3,-84.3,49.1,0
plate_04_rigid_femur_sockets_a,PLA/PETG rigid,servo_clamp_cap.stl,4,-15.3,49.1,0
plate_04_rigid_femur_sockets_a,PLA/PETG rigid,servo_clamp_cap.stl,5,53.7,81.1,0
plate_04_rigid_femur_sockets_a,PLA/PETG rigid,servo_clamp_cap.stl,6,-84.3,93.1,0
plate_04_rigid_femur_sockets_b,PLA/PETG rigid,femur_hip_yoke.stl,1,-86.0,-87.4,0
plate_04_rigid_femur_sockets_b,PLA/PETG rigid,femur_hip_yoke.stl,2,-21.0,-87.4,0
plate_04_rigid_femur_sockets_b,PLA/PETG rigid,femur_hip_yoke.stl,3,44.0,-87.4,0
plate_04_rigid_femur_sockets_b,PLA/PETG rigid,femur_hip_yoke.stl,4,-86.0,-24.4,0
plate_04_rigid_femur_sockets_b,PLA/PETG rigid,femur_hip_yoke.stl,5,-21.0,-24.4,0
plate_04_rigid_femur_sockets_b,PLA/PETG rigid,femur_hip_yoke.stl,6,44.0,-24.4,0
plate_05_rigid_tibia_sockets,PLA/PETG rigid,tibia_knee_yoke.stl,1,-86.0,-87.4,0
plate_05_rigid_tibia_sockets,PLA/PETG rigid,tibia_knee_yoke.stl,2,-21.0,-87.4,0
plate_05_rigid_tibia_sockets,PLA/PETG rigid,tibia_knee_yoke.stl,3,44.0,-87.4,0
plate_05_rigid_tibia_sockets,PLA/PETG rigid,tibia_knee_yoke.stl,4,-86.0,-24.4,0
plate_05_rigid_tibia_sockets,PLA/PETG rigid,tibia_knee_yoke.stl,5,-21.0,-24.4,0
plate_05_rigid_tibia_sockets,PLA/PETG rigid,tibia_knee_yoke.stl,6,44.0,-24.4,0
plate_05_rigid_tibia_sockets,PLA/PETG rigid,tibia_foot_fitting.stl,1,87.0,-95.0,90
plate_05_rigid_tibia_sockets,PLA/PETG rigid,tibia_foot_fitting.stl,2,108.0,-95.0,90
plate_05_rigid_tibia_sockets,PLA/PETG rigid,tibia_foot_fitting.stl,3,87.0,-48.0,90
plate_05_rigid_tibia_sockets,PLA/PETG rigid,tibia_foot_fitting.stl,4,108.0,-48.0,90
plate_05_rigid_tibia_sockets,PLA/PETG rigid,tibia_foot_fitting.stl,5,87.0,-1.0,90
plate_05_rigid_tibia_sockets,PLA/PETG rigid,tibia_foot_fitting.stl,6,108.0,-1.0,90
plate_06_rigid_uno_q_trays_a,PLA/PETG rigid,uno_q_tray.stl,1,-68.0,-76.0,0
plate_06_rigid_uno_q_trays_a,PLA/PETG rigid,uno_q_tray.stl,2,33.0,-76.0,0
plate_06_rigid_uno_q_trays_a,PLA/PETG rigid,uno_q_tray.stl,3,-68.0,9.0,0
plate_06_rigid_uno_q_trays_a,PLA/PETG rigid,uno_q_tray.stl,4,33.0,9.0,0
plate_06_rigid_uno_q_trays_b,PLA/PETG rigid,uno_q_tray.stl,5,-68.0,-76.0,0
plate_06_rigid_uno_q_trays_b,PLA/PETG rigid,uno_q_tray.stl,6,33.0,-76.0,0
plate_07_rigid_buck_trays_a,PLA/PETG rigid,buck_tray.stl,1,-68.0,-76.0,0
plate_07_rigid_buck_trays_a,PLA/PETG rigid,buck_tray.stl,2,33.0,-76.0,0
plate_07_rigid_buck_trays_a,PLA/PETG rigid,buck_tray.stl,3,-68.0,9.0,0
plate_07_rigid_buck_trays_a,PLA/PETG rigid,buck_tray.stl,4,33.0,9.0,0
plate_07_rigid_buck_trays_b,PLA/PETG rigid,buck_tray.stl,5,-68.0,-76.0,0
plate_07_rigid_buck_trays_b,PLA/PETG rigid,buck_tray.stl,6,33.0,-76.0,0
plate_07_tpu_foot_pads,TPU 95A,foot_pad.stl,1,-82.5,0.0,0
plate_07_tpu_foot_pads,TPU 95A,foot_pad.stl,2,-49.5,0.0,0
plate_07_tpu_foot_pads,TPU 95A,foot_pad.stl,3,-16.5,0.0,0
plate_07_tpu_foot_pads,TPU 95A,foot_pad.stl,4,16.5,0.0,0
plate_07_tpu_foot_pads,TPU 95A,foot_pad.stl,5,49.5,0.0,0
plate_07_tpu_foot_pads,TPU 95A,foot_pad.stl,6,82.5,0.0,0
