t_s,phase,joint,id,name,cmd_deg,present_deg,err_deg,speed_deg_s,load_pct,current_a,volt,temp_c
0.401,step+12r0,0,2,L0 yaw,11.912,-0.088,12.000,0.00,0.0,0.000,12.10,31.0
0.442,step+12r0,0,2,L0 yaw,11.912,-0.088,12.000,0.00,0.0,0.000,12.10,31.0
0.493,step+12r0,0,2,L0 yaw,11.912,0.703,11.209,878.40,3.2,0.006,12.10,31.0
0.534,step+12r0,0,2,L0 yaw,11.912,0.703,11.209,878.40,3.2,0.006,12.10,31.0
0.601,step+12r0,0,2,L0 yaw,11.912,2.725,9.188,1317.60,6.8,0.013,12.10,31.0
0.641,step+12r0,0,2,L0 yaw,11.912,2.725,9.188,1317.60,6.8,0.013,12.10,31.0
0.692,step+12r0,0,2,L0 yaw,11.912,5.977,5.936,1537.20,6.4,0.013,12.10,31.0
0.733,step+12r0,0,2,L0 yaw,11.912,5.977,5.936,1537.20,6.4,0.013,12.10,31.0
0.783,step+12r0,0,2,L0 yaw,11.912,8.789,3.123,1756.80,6.0,0.006,12.10,31.0
0.824,step+12r0,0,2,L0 yaw,11.912,8.789,3.123,1756.80,6.0,0.006,12.10,31.0
0.875,step+12r0,0,2,L0 yaw,11.912,10.898,1.014,878.40,2.8,0.000,12.10,31.0
0.915,step+12r0,0,2,L0 yaw,11.912,10.898,1.014,878.40,2.8,0.000,12.10,31.0
0.966,step+12r0,0,2,L0 yaw,11.912,11.777,0.135,219.60,2.4,0.006,12.10,31.0
1.007,step+12r0,0,2,L0 yaw,11.912,11.777,0.135,219.60,2.4,0.006,12.10,31.0
1.068,step+12r0,0,2,L0 yaw,11.912,11.777,0.135,-219.60,2.8,0.006,12.10,31.0
1.108,step+12r0,0,2,L0 yaw,11.912,11.777,0.135,-219.60,2.8,0.006,12.10,31.0
1.175,step+12r0,0,2,L0 yaw,11.912,11.777,0.135,0.00,2.4,0.006,12.10,31.0
1.179,return,0,2,L0 yaw,-0.088,11.777,-11.865,0.00,2.4,0.006,12.10,31.0
1.220,return,0,2,L0 yaw,-0.088,11.777,-11.865,0.00,2.4,0.006,12.10,31.0
1.271,return,0,2,L0 yaw,-0.088,11.338,-11.426,-658.80,3.6,0.006,12.10,31.0
1.311,return,0,2,L0 yaw,-0.088,11.338,-11.426,-658.80,3.6,0.006,12.10,31.0
1.410,return,0,2,L0 yaw,-0.088,8.350,-8.438,-1098.00,7.6,0.006,12.10,31.0
1.451,return,0,2,L0 yaw,-0.088,8.350,-8.438,-1098.00,7.6,0.006,12.10,31.0
1.502,return,0,2,L0 yaw,-0.088,5.273,-5.361,-1756.80,4.8,0.013,12.10,31.0
1.542,return,0,2,L0 yaw,-0.088,5.273,-5.361,-1756.80,4.8,0.013,12.10,31.0
1.593,return,0,2,L0 yaw,-0.088,2.549,-2.637,-1537.20,4.0,0.000,12.10,31.0
1.634,return,0,2,L0 yaw,-0.088,2.549,-2.637,-1537.20,4.0,0.000,12.10,31.0
1.685,return,0,2,L0 yaw,-0.088,0.703,-0.791,-658.80,2.8,0.000,12.10,31.0
1.725,return,0,2,L0 yaw,-0.088,0.703,-0.791,-658.80,2.8,0.000,12.10,31.0
1.776,return,0,2,L0 yaw,-0.088,-0.088,0.000,-439.20,0.0,0.000,12.10,31.0
1.816,return,0,2,L0 yaw,-0.088,-0.088,0.000,-439.20,0.0,0.000,12.10,31.0
1.867,return,0,2,L0 yaw,-0.088,-0.088,0.000,0.00,0.0,0.000,12.10,30.0
1.911,step-12r0,0,2,L0 yaw,-12.088,-0.088,-12.000,0.00,0.0,0.000,12.10,30.0
1.962,step-12r0,0,2,L0 yaw,-12.088,-0.088,-12.000,0.00,4.4,0.013,12.10,31.0
2.002,step-12r0,0,2,L0 yaw,-12.088,-0.088,-12.000,0.00,4.4,0.013,12.10,31.0
2.053,step-12r0,0,2,L0 yaw,-12.088,-1.582,-10.506,-878.40,4.4,0.006,12.10,31.0
2.094,step-12r0,0,2,L0 yaw,-12.088,-1.582,-10.506,-878.40,4.4,0.006,12.10,31.0
