t_unix,roll_deg,pitch_deg,gx_dps,gy_dps,gz_dps
1786485226.782,-0.98,4.04,-0.27,0.02,0.7
1786485227.093,-1.55,4.3,-0.3,0.05,0.68
1786485227.383,-1.36,4.36,0.02,-0.06,0.57
1786485227.684,-1.13,4.16,-0.11,-0.01,0.5
1786485229.204,-1.22,4.28,-0.14,0.03,0.38
1786485229.242,-1.11,4.28,-0.13,0.02,0.35
1786485229.539,-1.28,4.28,-0.13,0.03,0.32
1786485229.839,-1.3,4.39,-0.12,0.08,0.31
1786485230.139,-1.29,4.24,-0.1,0.03,0.31
1786485230.44,-1.35,4.42,-0.11,0.07,0.32
1786485230.74,-1.2,4.24,-0.14,0.02,0.34
1786485231.041,-1.22,4.26,-0.13,0.03,0.35
1786485231.341,-1.27,4.17,-0.13,0.0,0.32
1786485231.641,-1.26,4.31,-0.1,0.01,0.25
1786485231.942,-1.32,4.43,-0.11,0.04,0.28
1786485232.242,-1.39,4.28,-0.12,-0.06,0.37
1786485232.542,-1.37,4.29,-0.09,0.02,0.32
1786485232.843,-1.3,4.12,-0.1,0.03,0.32
1786485233.143,-1.32,4.32,-0.11,0.01,0.29
1786485233.443,-1.32,4.25,-0.12,0.04,0.38
1786485233.744,-1.38,4.27,-0.12,-0.0,0.29
1786485234.044,-1.43,4.27,-0.17,0.04,0.33
1786485234.345,-1.26,4.21,-0.08,0.03,0.32
1786485234.645,-1.27,4.17,-0.13,-0.04,0.34
1786485234.945,-1.39,4.17,-0.14,0.02,0.34
1786485235.245,-1.24,4.25,-0.15,-0.01,0.29
1786485235.546,-1.26,4.28,-0.14,0.02,0.37
1786485235.846,-1.23,4.28,-0.17,0.02,0.32
1786485236.146,-1.21,4.16,-0.08,0.01,0.36
1786485236.446,-1.36,4.17,-0.12,0.03,0.3
1786485236.75,-1.19,4.32,-0.14,0.03,0.36
1786485237.047,-1.42,4.39,-0.14,0.03,0.32
1786485237.348,-1.35,4.19,-0.09,-0.03,0.26
1786485237.648,-1.31,4.29,-0.11,0.05,0.36
1786485237.948,-1.41,4.34,-0.11,0.03,0.35
1786485238.252,-1.26,4.29,-0.11,0.03,0.28
1786485238.549,-1.38,4.22,-0.12,0.02,0.32
1786485238.851,-1.28,4.31,-0.09,-0.0,0.33
1786485239.166,-1.34,4.21,-0.12,0.02,0.27
1786485239.45,-1.36,4.3,-0.13,0.04,0.35
1786485239.751,-1.33,4.23,-0.14,0.05,0.32
1786485240.052,-1.29,4.18,-0.11,-0.0,0.31
1786485240.355,-1.29,4.36,-0.12,0.02,0.31
1786485240.652,-1.41,4.33,-0.08,0.02,0.31
1786485240.952,-1.16,4.33,-0.13,0.05,0.36
1786485241.269,-1.4,4.38,-0.12,-0.0,0.34
1786485241.573,-1.24,4.46,-0.14,0.05,0.34
1786485241.854,-1.27,4.38,-0.15,0.02,0.31
1786485242.154,-1.41,4.2,-0.13,0.0,0.32
1786485242.454,-1.25,4.26,-0.1,0.03,0.35
1786485242.755,-1.31,4.26,-0.14,0.01,0.3
1786485243.055,-1.21,4.31,-0.1,0.03,0.33
1786485243.355,-1.3,4.36,-0.12,0.03,0.35
1786485243.655,-1.48,4.37,-0.08,-0.0,0.35
1786485243.956,-1.24,4.26,-0.13,0.0,0.32
1786485244.256,-1.22,4.19,-0.07,-0.04,0.32
1786485244.557,-1.22,4.35,-0.12,-0.02,0.33
1786485244.877,-1.34,4.21,-0.13,0.03,0.29
1786485245.159,-1.38,4.11,-0.12,0.04,0.31
1786485245.459,-1.49,4.29,-0.14,0.0,0.36
1786485245.763,-1.27,4.36,-0.16,-0.03,0.3
1786485246.06,-1.23,4.36,-0.13,0.09,0.35
1786485246.36,-1.36,4.21,-0.12,-0.02,0.32
1786485246.678,-1.34,4.15,-0.14,-0.01,0.32
1786485246.961,-1.37,4.23,-0.14,-0.03,0.32
1786485247.278,-1.42,4.21,-0.09,-0.05,0.3
1786485247.562,-1.27,4.25,-0.09,0.03,0.33
1786485247.862,-1.27,4.28,-0.17,0.05,0.34
1786485248.163,-1.32,4.08,-0.11,0.07,0.25
1786485248.463,-1.19,4.35,-0.1,0.01,0.38
1786485248.763,-1.34,4.21,-0.12,0.0,0.29
1786485249.063,-1.37,4.28,-0.14,0.02,0.35
1786485249.364,-1.35,4.21,-0.06,0.03,0.32
1786485249.664,-1.3,4.33,-0.12,-0.01,0.32
1786485249.965,-1.3,4.27,-0.12,0.02,0.32
1786485250.267,-1.31,4.14,-0.12,0.01,0.27
1786485250.566,-1.34,4.39,-0.08,-0.03,0.35
1786485250.866,-1.4,4.24,-0.11,-0.02,0.34
1786485251.166,-1.27,4.35,-0.11,0.03,0.34
1786485251.466,-1.37,4.27,-0.14,0.03,0.29
1786485251.783,-1.34,4.31,-0.14,-0.02,0.3
1786485252.067,-1.38,4.12,-0.09,0.02,0.4
1786485252.367,-1.25,4.31,-0.15,0.01,0.3
1786485252.667,-1.24,4.26,-0.11,0.05,0.3
1786485252.968,-1.38,4.25,-0.11,-0.0,0.28
1786485253.268,-1.49,4.24,-0.1,0.06,0.35
1786485253.568,-1.31,4.22,-0.14,0.06,0.37
1786485253.869,-1.35,4.27,-0.08,0.03,0.28
1786485254.169,-1.24,4.22,-0.11,0.06,0.31
1786485254.47,-1.25,4.45,-0.18,0.07,0.35
1786485254.77,-1.17,4.23,-0.12,0.0,0.3
1786485255.07,-1.41,4.18,-0.16,0.04,0.31
1786485255.37,-1.34,4.25,-0.11,0.05,0.37
1786485255.671,-1.29,4.17,-0.11,0.07,0.29
1786485255.971,-1.47,4.1,-0.11,0.04,0.33
1786485256.271,-1.41,4.45,-0.11,0.03,0.37
1786485256.571,-1.27,4.35,-0.11,-0.0,0.32
