t_unix,live,q0_deg,cur0_a,temp0_c,q1_deg,cur1_a,temp1_c,q2_deg,cur2_a,temp2_c,q3_deg,cur3_a,temp3_c,q4_deg,cur4_a,temp4_c,q5_deg,cur5_a,temp5_c,q6_deg,cur6_a,temp6_c,q7_deg,cur7_a,temp7_c,q8_deg,cur8_a,temp8_c,q9_deg,cur9_a,temp9_c,q10_deg,cur10_a,temp10_c,q11_deg,cur11_a,temp11_c,q12_deg,cur12_a,temp12_c,q13_deg,cur13_a,temp13_c,q14_deg,cur14_a,temp14_c,q15_deg,cur15_a,temp15_c,q16_deg,cur16_a,temp16_c,q17_deg,cur17_a,temp17_c
1786485272.532,18,0.18,0.0,34,16.44,0.006,39,79.37,0.0,36,0.35,0.0,34,17.58,0.0,38,78.57,0.0,36,0.0,0.0,35,17.93,0.006,51,79.45,0.0,36,-0.09,0.0,32,16.61,0.0,38,79.19,0.0,33,-0.18,0.0,32,17.14,0.019,42,77.61,0.013,34,-0.09,0.0,34,16.88,0.006,40,78.31,0.0,36
1786485272.548,18,0.18,0.0,34,16.44,0.006,39,79.37,0.0,36,0.35,0.0,34,17.58,0.0,38,78.57,0.0,36,0.0,0.0,35,17.93,0.0,51,79.45,0.0,36,-0.09,0.0,32,16.61,0.006,38,79.19,0.0,33,-0.18,0.0,32,17.14,0.013,42,77.61,0.013,34,-0.09,0.0,34,16.88,0.006,40,78.31,0.0,36
1786485272.849,18,0.18,0.0,34,16.44,0.006,39,79.37,0.0,36,0.35,0.0,34,17.58,0.0,38,78.49,0.006,36,0.0,0.0,35,17.93,0.006,51,79.45,0.0,36,-0.09,0.0,32,16.61,0.006,38,79.19,0.0,33,-0.18,0.0,32,17.14,0.013,42,77.61,0.013,34,-0.09,0.0,34,16.88,0.006,40,78.31,0.0,36
1786485273.149,18,0.18,0.0,34,16.44,0.006,39,79.37,0.0,36,0.35,0.0,34,17.58,0.0,38,78.57,0.0,36,0.0,0.0,35,17.93,0.006,51,79.45,0.0,36,-0.09,0.0,32,16.61,0.0,38,79.19,0.0,33,-0.18,0.006,32,17.14,0.019,42,77.61,0.013,34,-0.09,0.0,34,16.88,0.0,40,78.31,0.0,36
1786485273.449,18,0.18,0.0,34,16.44,0.006,39,79.37,0.0,36,0.35,0.0,34,17.58,0.0,38,78.49,0.006,36,0.0,0.0,35,17.93,0.006,51,79.45,0.0,36,-0.09,0.0,32,16.61,0.006,38,79.19,0.0,33,-0.18,0.0,32,17.14,0.013,42,77.61,0.019,34,-0.09,0.0,34,16.88,0.006,40,78.31,0.0,36
1786485273.75,18,0.18,0.0,34,16.44,0.006,39,79.37,0.0,36,0.35,0.0,34,17.58,0.0,38,78.49,0.006,36,0.0,0.0,35,17.93,0.006,51,79.45,0.0,36,-0.09,0.0,32,16.61,0.006,38,79.19,0.0,33,-0.18,0.0,32,17.14,0.019,42,77.61,0.013,34,-0.09,0.0,34,16.88,0.0,40,78.31,0.0,36
1786485274.05,18,0.18,0.0,34,16.44,0.006,39,79.37,0.0,36,0.35,0.0,34,17.58,0.0,38,78.57,0.0,36,0.0,0.0,35,17.93,0.006,51,79.45,0.0,36,-0.09,0.0,32,16.61,0.006,38,79.19,0.0,33,-0.18,0.0,32,17.14,0.019,42,77.61,0.013,34,-0.09,0.0,34,16.88,0.006,40,78.31,0.0,36
1786485274.35,18,0.18,0.0,34,16.44,0.013,39,79.37,0.0,36,0.35,0.0,34,17.58,0.0,38,78.49,0.006,36,0.0,0.0,35,17.93,0.006,51,79.45,0.0,36,-0.09,0.0,32,16.61,0.006,38,79.19,0.0,33,-0.18,0.0,32,17.14,0.019,42,77.61,0.013,34,-0.09,0.0,34,16.88,0.006,40,78.31,0.0,36
1786485274.65,18,0.18,0.0,34,16.44,0.006,39,79.37,0.0,36,0.35,0.0,34,17.58,0.0,38,78.57,0.0,36,0.0,0.0,35,17.93,0.006,51,79.45,0.0,36,-0.09,0.0,32,16.61,0.006,38,79.19,0.0,33,-0.18,0.0,32,17.14,0.013,42,77.61,0.013,34,-0.09,0.0,34,16.88,0.006,40,78.31,0.0,36
1786485274.961,18,0.18,0.0,34,16.44,0.006,39,79.37,0.0,36,0.35,0.0,34,17.58,0.0,38,78.49,0.006,36,0.0,0.0,35,17.93,0.006,51,79.45,0.0,36,-0.09,0.0,32,16.61,0.006,38,79.19,0.0,33,-0.18,0.0,32,17.14,0.013,42,77.61,0.019,34,-0.09,0.0,34,16.88,0.006,40,78.31,0.0,36
1786485275.251,18,0.18,0.0,34,16.44,0.006,39,79.37,0.0,36,0.35,0.0,34,17.58,0.0,38,78.57,0.0,36,0.0,0.0,35,17.93,0.006,51,79.45,0.0,36,-0.09,0.0,32,16.61,0.006,38,79.19,0.0,33,-0.18,0.0,32,17.14,0.019,42,77.61,0.013,34,-0.09,0.0,34,16.88,0.006,40,78.31,0.0,36
1786485275.552,18,0.18,0.0,34,16.44,0.006,39,79.37,0.0,36,0.35,0.0,34,17.58,0.0,38,78.57,0.006,36,0.0,0.0,35,17.93,0.0,51,79.45,0.0,36,-0.09,0.0,32,16.61,0.0,38,79.19,0.0,33,-0.18,0.0,32,17.14,0.019,42,77.61,0.013,34,-0.09,0.0,34,16.88,0.006,40,78.31,0.0,36
1786485275.852,18,0.18,0.0,34,16.44,0.006,39,79.37,0.0,36,0.35,0.0,34,17.58,0.0,38,78.49,0.006,36,0.0,0.0,35,17.93,0.006,51,79.45,0.0,36,-0.09,0.0,32,16.61,0.0,38,79.19,0.0,33,-0.18,0.0,32,17.14,0.013,42,77.61,0.019,34,-0.09,0.0,34,16.88,0.006,40,78.31,0.0,36
1786485276.152,18,0.18,0.0,34,16.44,0.006,39,79.37,0.0,36,0.35,0.0,34,17.58,0.0,38,78.49,0.0,36,0.0,0.0,35,17.93,0.006,51,79.45,0.0,36,-0.09,0.0,32,16.61,0.006,38,79.19,0.0,33,-0.18,0.0,32,17.14,0.013,42,77.61,0.013,34,-0.09,0.0,34,16.88,0.006,40,78.31,0.0,36
1786485276.453,18,0.18,0.0,34,16.44,0.006,39,79.37,0.0,36,0.35,0.0,34,17.58,0.0,38,78.57,0.0,36,0.0,0.0,35,17.93,0.006,51,79.45,0.0,36,-0.09,0.0,32,16.61,0.006,38,79.19,0.0,33,-0.18,0.0,32,17.14,0.019,42,77.61,0.013,34,-0.09,0.0,34,16.88,0.0,40,78.31,0.0,36
1786485276.753,18,0.18,0.0,34,16.44,0.013,39,79.37,0.0,36,0.35,0.0,34,17.58,0.0,38,78.49,0.0,36,0.0,0.0,35,17.93,0.006,51,79.45,0.0,36,-0.09,0.0,32,16.61,0.006,38,79.19,0.0,33,-0.18,0.0,32,17.14,0.019,42,77.61,0.013,34,-0.09,0.0,34,16.88,0.006,40,78.31,0.0,36
