t_s,phase,roll_deg,pitch_deg,gyro_x_dps,gyro_y_dps,gyro_z_dps,height_ref_mm,vx_ref_mps,vy_ref_mps,max_cur_a,q0_deg,q1_deg,q2_deg,q3_deg,q4_deg,q5_deg,q6_deg,q7_deg,q8_deg,q9_deg,q10_deg,q11_deg,q12_deg,q13_deg,q14_deg,q15_deg,q16_deg,q17_deg,cmd0_deg,cmd1_deg,cmd2_deg,cmd3_deg,cmd4_deg,cmd5_deg,cmd6_deg,cmd7_deg,cmd8_deg,cmd9_deg,cmd10_deg,cmd11_deg,cmd12_deg,cmd13_deg,cmd14_deg,cmd15_deg,cmd16_deg,cmd17_deg,act0,act1,act2,act3,act4,act5,act6,act7,act8,act9,act10,act11,act12,act13,act14,act15,act16,act17,cur0_a,cur1_a,cur2_a,cur3_a,cur4_a,cur5_a,cur6_a,cur7_a,cur8_a,cur9_a,cur10_a,cur11_a,cur12_a,cur13_a,cur14_a,cur15_a,cur16_a,cur17_a,obs0,obs1,obs2,obs3,obs4,obs5,obs6,obs7,obs8,obs9,obs10,obs11,obs12,obs13,obs14,obs15,obs16,obs17,obs18,obs19,obs20,obs21,obs22,obs23,obs24,obs25,obs26,obs27,obs28,obs29,obs30,obs31,obs32,obs33,obs34,obs35,obs36,obs37,obs38,obs39,obs40,obs41,obs42,obs43,obs44,obs45,obs46,obs47,obs48,obs49,obs50,obs51,obs52,obs53,obs54,obs55,obs56,obs57,obs58,obs59,obs60,obs61,obs62,obs63,obs64,obs65,obs66,obs67,rot60_k
0.0,run,0.4,3.52,-0.05,0.01,0.01,0.0,0.0,0.0,0.026,-0.09,0.44,0.18,0.0,0.53,0.09,-0.18,0.09,0.44,0.09,0.44,0.09,-0.09,0.26,0.09,0.09,0.35,0.26,0.05,1.85,1.68,1.5,1.94,1.59,1.32,-1.41,1.94,-1.41,1.85,1.59,1.41,-1.32,1.59,1.59,1.76,1.76,0.0014,0.5866,-0.2696,0.2403,0.6944,-0.4425,0.1981,0.3664,0.0915,-0.1139,0.6497,-0.3349,0.1118,0.2824,0.0585,0.3032,0.6517,-0.3738,0.006,0.006,0.006,0.0,0.006,0.013,0.006,0.019,0.0,0.013,0.006,0.006,0.013,0.026,0.013,0.013,0.0,0.006,0.0,0.0,0.0,0.0,0.0015,0.0,0.0,0.0,0.0,0.0,0.0015,0.0,0.0,0.0015,0.0,0.0,0.0015,0.0,0.0,0.0,0.0,0.0,0.0035,0.0,0.0,0.0,0.0,0.0,0.0029,0.0,0.0,0.0029,0.0,0.0,0.0029,0.0,0.0,0.0,-0.0005,0.0003,0.0014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.04,run,0.38,3.52,-0.32,0.01,0.38,0.0,0.0,0.0,0.026,-0.09,0.44,0.18,0.0,0.62,0.26,-0.09,-0.18,0.62,-0.26,0.53,0.26,0.09,-0.09,0.35,0.35,0.35,0.44,1.11,3.35,3.18,3.0,3.44,3.09,2.82,-2.91,3.44,-1.75,3.35,3.09,2.91,-2.82,3.09,3.09,3.26,3.26,0.0316,0.636,-0.3197,0.2352,0.7058,-0.4302,0.2138,0.3964,0.057,-0.0499,0.6822,-0.3893,0.1482,0.3787,0.08,0.2027,0.6223,-0.2821,0.006,0.006,0.006,0.0,0.006,0.013,0.006,0.019,0.0,0.013,0.006,0.006,0.013,0.026,0.013,0.013,0.0,0.006,0.0,0.0015,0.0,0.0,0.0015,0.0,0.0,0.0,0.0,0.0,0.0015,0.0,0.0,0.0015,0.0,0.0,0.0015,0.0,0.0,0.0025,0.0,0.0,0.0024,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.002,0.0,0.0,0.002,0.0,-0.0006,0.0002,-0.0008,0.0002,0.0002,0.0014,0.5866,-0.2696,0.2403,0.6944,-0.4425,0.1981,0.3664,0.0915,-0.1139,0.6497,-0.3349,0.1118,0.2824,0.0585,0.3032,0.6517,-0.3738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.08,run,0.41,3.51,0.02,0.03,-0.26,0.0,0.0,0.0,0.026,0.18,1.05,0.35,0.35,1.23,1.14,0.53,-0.88,1.14,-0.97,1.14,1.14,0.97,-0.79,1.14,1.23,0.62,1.05,1.15,4.85,4.68,4.5,4.94,4.59,4.32,-4.2,4.94,-1.31,4.85,4.59,4.41,-4.32,4.59,4.59,4.76,4.76,0.0329,0.6146,-0.3208,0.2191,0.6903,-0.4325,0.2005,0.3782,0.0512,-0.0376,0.6674,-0.3901,0.135,0.3713,0.0625,0.1857,0.615,-0.2927,0.006,0.006,0.006,0.0,0.006,0.013,0.006,0.019,0.0,0.013,0.006,0.006,0.013,0.026,0.013,0.013,0.0,0.006,0.0,0.0015,0.0,0.0,0.0031,0.0031,0.0015,-0.0046,0.0031,-0.0061,0.0031,0.0031,0.0031,-0.0046,0.0046,0.0046,0.0015,0.0031,0.0,0.0017,0.0,0.0,0.0074,0.0115,0.0057,-0.0172,0.0115,-0.023,0.0072,0.0115,0.0115,-0.0215,0.0172,0.0172,0.0014,0.0115,-0.0019,-0.0001,-0.0056,0.0002,0.0066,0.0316,0.636,-0.3197,0.2352,0.7058,-0.4302,0.2138,0.3964,0.057,-0.0499,0.6822,-0.3893,0.1482,0.3787,0.08,0.2027,0.6223,-0.2821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.12,run,0.43,3.5,0.39,0.29,0.12,0.0,0.0,0.0,0.039,0.88,2.02,1.67,1.58,2.11,2.11,1.32,-1.67,1.41,-1.49,2.02,2.2,1.85,-1.67,2.2,2.02,1.76,1.85,1.44,6.35,6.18,6.0,6.44,6.09,5.82,-5.7,6.44,-1.22,6.35,6.09,5.53,-5.82,6.09,6.09,6.26,6.26,0.0411,0.5732,-0.4462,0.2356,0.6648,-0.571,0.2221,0.2527,-0.021,-0.0349,0.6394,-0.5259,0.1581,0.2611,-0.0333,0.2202,0.6008,-0.4547,0.006,0.006,0.006,0.006,0.006,0.019,0.013,0.039,0.033,0.006,0.006,0.006,0.013,0.033,0.006,0.013,0.0,0.013,0.0046,0.0123,0.0031,0.0061,0.0138,0.0184,0.0123,-0.0169,0.0123,-0.0184,0.0138,0.0184,0.0184,-0.0169,0.0184,0.0199,0.0061,0.0138,0.0171,0.0412,0.0114,0.0229,0.0452,0.0652,0.044,-0.0578,0.0423,-0.0618,0.045,0.0652,0.0652,-0.0608,0.0635,0.0692,0.0181,0.048,0.0008,-0.0004,0.0003,0.0005,-0.0045,0.0329,0.6146,-0.3208,0.2191,0.6903,-0.4325,0.2005,0.3782,0.0512,-0.0376,0.6674,-0.3901,0.135,0.3713,0.0625,0.1857,0.615,-0.2927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.16,run,0.43,3.48,-0.34,-0.24,0.73,0.0,0.0,0.0,0.039,1.14,3.16,2.81,2.72,3.16,3.34,2.46,-2.99,2.72,-1.67,3.16,3.25,3.08,-2.9,3.34,3.34,3.43,2.99,1.97,7.85,7.68,7.5,7.94,7.59,7.32,-7.2,7.94,-2.28,7.85,7.59,6.99,-7.32,7.59,7.59,7.28,7.76,0.0564,0.6107,-0.6021,0.3005,0.6751,-0.667,0.2856,0.1964,-0.048,-0.0652,0.6466,-0.6247,0.1997,0.2055,-0.077,0.3304,0.5869,-0.5474,0.006,0.006,0.006,0.006,0.006,0.019,0.013,0.039,0.033,0.006,0.006,0.006,0.013,0.033,0.006,0.013,0.0,0.013,0.0169,0.0291,0.0261,0.0276,0.0291,0.0353,0.0261,-0.0307,0.0169,-0.0276,0.0291,0.0368,0.0337,-0.0322,0.0368,0.0337,0.0261,0.0276,0.0581,0.0922,0.0944,0.0967,0.0893,0.109,0.0827,-0.0923,0.0469,-0.0778,0.0891,0.1148,0.1032,-0.1002,0.1136,0.1003,0.0876,0.0855,0.0021,-0.0015,0.0068,0.0051,0.002,0.0411,0.5732,-0.4462,0.2356,0.6648,-0.571,0.2221,0.2527,-0.021,-0.0349,0.6394,-0.5259,0.1581,0.2611,-0.0333,0.2202,0.6008,-0.4547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.2,run,0.44,3.53,0.02,0.59,2.05,0.0,0.0,0.0,0.039,1.32,4.39,4.04,3.69,4.39,4.66,3.69,-4.13,4.04,-1.58,4.39,4.66,4.22,-4.22,4.75,4.66,4.31,4.22,2.17,9.35,9.18,9.0,9.44,9.09,8.82,-8.7,9.44,-3.11,9.35,9.09,7.44,-8.82,9.09,9.09,6.81,9.26,0.062,0.6625,-0.6178,0.3415,0.6965,-0.6255,0.3057,0.2488,-0.0071,-0.0888,0.6675,-0.5776,0.2125,0.2492,-0.049,0.3775,0.5784,-0.4861,0.006,0.006,0.006,0.006,0.006,0.019,0.013,0.039,0.033,0.006,0.006,0.006,0.013,0.033,0.006,0.013,0.0,0.013,0.0215,0.0491,0.046,0.0476,0.0476,0.0568,0.046,-0.0537,0.0399,-0.0307,0.0491,0.0552,0.0552,-0.0537,0.0568,0.0568,0.0552,0.0476,0.058,0.1397,0.1412,0.1428,0.1318,0.1572,0.133,-0.1513,0.1195,-0.066,0.1375,0.1497,0.1531,-0.151,0.1546,0.1569,0.1711,0.1349,0.0025,-0.003,-0.0059,-0.0042,0.0127,0.0564,0.6107,-0.6021,0.3005,0.6751,-0.667,0.2856,0.1964,-0.048,-0.0652,0.6466,-0.6247,0.1997,0.2055,-0.077,0.3304,0.5869,-0.5474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.24,run,0.44,3.53,0.13,-0.21,-2.32,0.0,0.0,0.0,0.039,2.2,5.62,5.36,5.19,5.8,5.98,5.01,-5.54,5.36,-1.58,5.71,5.98,5.45,-5.54,6.06,5.98,5.1,5.45,2.38,10.85,10.68,10.5,10.94,10.59,10.32,-9.87,10.94,-2.61,10.85,10.59,7.59,-10.32,10.59,10.59,6.7,10.76,0.0681,0.6788,-0.6064,0.3476,0.7105,-0.6,0.3055,0.2751,0.0119,-0.0746,0.6801,-0.5494,0.2168,0.2668,-0.0258,0.3802,0.5764,-0.4581,0.006,0.013,0.013,0.006,0.006,0.006,0.013,0.019,0.019,0.019,0.0,0.013,0.0,0.033,0.006,0.006,0.0,0.019,0.0245,0.0706,0.0675,0.0644,0.069,0.0798,0.0675,-0.0736,0.0629,-0.0291,0.0706,0.0798,0.0752,-0.0767,0.0813,0.0798,0.0706,0.069,0.0521,0.178,0.179,0.1629,0.1725,0.196,0.1733,-0.1804,0.1696,-0.0405,0.1764,0.1964,0.1817,-0.1916,0.1999,0.1957,0.177,0.1747,0.003,0.0014,0.0003,0.0103,0.0358,0.062,0.6625,-0.6178,0.3415,0.6965,-0.6255,0.3057,0.2488,-0.0071,-0.0888,0.6675,-0.5776,0.2125,0.2492,-0.049,0.3775,0.5784,-0.4861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.28,run,0.44,3.54,-0.23,-0.16,1.26,0.0,0.0,0.0,0.039,1.93,7.03,6.77,6.5,7.12,7.38,6.42,-6.94,6.86,-2.37,7.12,7.38,6.42,-6.94,7.38,7.47,6.42,6.5,2.41,12.35,12.18,12.0,12.44,12.09,10.68,-8.37,12.44,-2.34,12.35,12.09,7.67,-8.91,12.09,12.09,6.8,12.26,0.0689,0.6932,-0.5839,0.351,0.7223,-0.5654,0.3052,0.3098,0.0337,-0.0667,0.696,-0.5183,0.2192,0.2926,-0.0051,0.3867,0.5782,-0.4261,0.006,0.013,0.013,0.006,0.006,0.006,0.013,0.019,0.019,0.019,0.0,0.013,0.0,0.033,0.006,0.006,0.0,0.019,0.0399,0.092,0.0905,0.0905,0.0936,0.1028,0.0905,-0.0982,0.0859,-0.0291,0.0936,0.1028,0.0966,-0.0997,0.1043,0.1028,0.0844,0.0905,0.0939,0.205,0.2115,0.2117,0.2126,0.2233,0.2075,-0.2182,0.2049,-0.0283,0.2097,0.2237,0.2076,-0.2203,0.2261,0.2232,0.1756,0.2027,0.0031,0.0009,0.0023,-0.0037,-0.0405,0.0681,0.6788,-0.6064,0.3476,0.7105,-0.6,0.3055,0.2751,0.0119,-0.0746,0.6801,-0.5494,0.2168,0.2668,-0.0258,0.3802,0.5764,-0.4581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.32,run,0.44,3.51,0.48,0.57,0.99,0.0,0.0,0.0,0.039,2.55,8.44,8.09,7.91,8.53,8.7,7.73,-8.09,8.17,-2.55,8.44,8.79,7.03,-8.17,8.79,8.7,6.68,8.09,2.61,13.47,13.68,12.13,13.94,13.59,10.73,-6.87,13.94,-1.87,13.85,13.59,7.82,-7.79,13.59,13.56,6.86,13.76,0.0746,0.6994,-0.5539,0.3467,0.7292,-0.5256,0.3067,0.3413,0.0561,-0.0535,0.7097,-0.4874,0.2236,0.313,0.0267,0.3875,0.5792,-0.3957,0.006,0.013,0.013,0.006,0.006,0.006,0.013,0.019,0.019,0.019,0.0,0.013,0.0,0.033,0.006,0.006,0.0,0.019,0.0353,0.1166,0.115,0.1135,0.1166,0.1273,0.115,-0.1227,0.112,-0.043,0.1181,0.1273,0.1135,-0.1243,0.1273,0.1289,0.1074,0.1089,0.0484,0.2356,0.2402,0.2346,0.2352,0.2485,0.2374,-0.2448,0.2413,-0.0717,0.2389,0.2487,0.2087,-0.2463,0.2446,0.2541,0.2093,0.211,0.0032,0.0017,-0.004,-0.0027,0.022,0.0689,0.6932,-0.5839,0.351,0.7223,-0.5654,0.3052,0.3098,0.0337,-0.0667,0.696,-0.5183,0.2192,0.2926,-0.0051,0.3867,0.5782,-0.4261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0.36,run,0.45,3.52,0.05,-0.26,-2.36,0.0,0.0,0.0,0.039,2.37,9.84,9.58,9.23,9.93,10.2,8.79,-8.79,9.58,-2.46,9.84,10.2,7.56,-9.14,10.2,10.11,6.77,9.49,2.75,13.54,15.18,11.87,15.28,15.09,10.68,-5.37,15.44,-1.4,14.7,15.09,7.87,-6.95,15.09,13.46,6.95,15.26,0.0786,0.7008,-0.5282,0.3392,0.7323,-0.4943,0.3051,0.3637,0.0724,-0.0401,0.7218,-0.4688,0.2247,0.3281,0.0493,0.3847,0.581,-0.3739,0.013,0.006,0.013,0.006,0.006,0.013,0.006,0.013,0.026,0.013,0.0,0.006,0.0,0.006,0.006,0.006,0.0,0.019,0.046,0.1411,0.1381,0.1381,0.1411,0.1503,0.1381,-0.1427,0.135,-0.046,0.1411,0.1519,0.1243,-0.1457,0.1519,0.1503,0.112,0.1365,0.0742,0.257,0.2544,0.2563,0.2567,0.2602,0.2524,-0.2462,0.2552,-0.0617,0.2535,0.2661,0.1863,-0.253,0.2633,0.2584,0.1638,0.2512,0.0029,-0.0002,0.0084,0.0099,0.0172,0.0746,0.6994,-0.5539,0.3467,0.7292,-0.5256,0.3067,0.3413,0.0561,-0.0535,0.7097,-0.4874,0.2236,0.313,0.0267,0.3875,0.5792,-0.3957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
