t_unix,roll_deg,pitch_deg
1786331883.573,0.7,2.1
1786331883.873,0.8,2.1
1786331884.174,0.7,2.2
1786331884.474,0.7,2.2
1786331884.774,0.8,2.3
1786331885.075,0.7,2.2
1786331885.375,0.7,2.3
1786331885.676,0.8,2.4
1786331885.976,0.7,2.2
1786331886.276,0.9,2.2
1786331886.576,0.7,2.3
1786331886.876,0.8,2.3
1786331887.176,0.7,2.3
1786331887.477,0.6,2.2
1786331887.777,0.8,2.2
1786331888.077,0.7,2.3
1786331888.377,0.8,2.3
1786331888.678,0.7,2.4
1786331888.978,0.8,2.4
1786331889.278,0.7,2.4
1786331889.579,0.7,2.3
1786331889.879,0.7,2.2
1786331890.179,0.6,2.3
1786331890.479,0.8,2.5
1786331890.780,0.8,2.2
1786331891.080,0.6,2.3
1786331891.381,0.7,2.2
1786331891.681,0.7,2.2
1786331891.981,0.9,2.1
1786331892.281,0.7,2.4
1786331892.582,0.8,2.2
1786331892.882,0.7,2.3
1786331893.182,0.6,2.4
1786331893.482,0.7,2.3
1786331893.782,0.6,2.3
1786331894.083,0.8,2.3
1786331894.383,0.8,2.3
1786331894.683,0.8,2.2
1786331894.984,0.6,2.3
1786331895.284,0.7,2.1
1786331895.584,0.7,2.3
1786331895.884,0.6,2.3
1786331896.185,0.8,2.2
1786331896.485,0.7,2.3
1786331896.785,0.7,2.3
1786331897.086,0.8,2.4
1786331897.386,0.8,2.2
1786331897.686,0.7,2.2
1786331897.986,0.7,2.2
1786331898.286,0.8,2.3
1786331898.586,0.8,2.2
1786331898.886,0.7,2.2
1786331899.187,0.8,2.2
1786331899.487,0.8,2.2
1786331899.787,0.7,2.2
1786331900.088,0.6,2.3
1786331900.388,0.7,2.2
1786331900.689,0.6,2.3
1786331900.989,0.7,2.2
1786331901.289,0.7,2.1
1786331901.589,0.6,2.2
1786331901.890,0.9,2.4
1786331902.190,0.7,2.2
1786331902.490,0.8,2.4
1786331902.790,0.7,2.3
1786331903.090,0.7,2.2
1786331903.391,0.8,2.3
1786331903.691,0.6,2.4
1786331903.991,0.8,2.2
1786331904.292,0.7,2.2
1786331904.592,0.7,2.1
1786331904.892,0.6,2.2
1786331905.192,0.7,2.3
1786331905.493,0.7,2.3
1786331905.793,0.7,2.4
1786331906.093,0.6,2.2
1786331906.394,0.7,2.4
1786331906.694,0.8,2.2
1786331906.994,0.8,2.1
1786331907.295,0.7,2.3
1786331907.595,0.8,2.2
1786331907.895,0.7,2.3
1786331908.196,0.7,2.2
1786331908.496,0.8,2.2
1786331908.796,0.7,2.3
1786331909.096,0.8,2.3
1786331909.396,0.7,2.3
1786331909.697,0.7,2.2
1786331909.997,0.6,2.2
1786331910.297,0.8,2.3
1786331910.598,0.7,2.3
1786331910.898,0.7,2.2
1786331911.199,0.5,2.4
1786331911.499,0.7,2.1
1786331911.799,0.7,2.3
1786331912.099,0.7,2.3
1786331912.400,0.8,2.2
1786331912.700,0.8,2.2
1786331913.000,0.7,2.3
1786331913.300,0.7,2.4
1786331913.600,-0.0,2.4
1786331913.901,1.4,3.2
1786331914.201,0.3,3.8
1786331914.501,0.8,2.1
1786331914.801,4.3,4.7
1786331915.102,0.6,2.6
1786331915.402,2.0,2.1
1786331915.702,0.7,0.7
1786331916.003,-0.4,1.9
1786331916.303,-0.2,1.3
1786331916.603,0.8,2.0
1786331916.903,1.1,2.4
1786331917.204,0.3,1.7
1786331917.504,1.2,2.4
1786331917.804,1.0,2.3
1786331918.104,0.7,2.1
1786331918.404,0.9,2.2
1786331918.704,1.0,2.3
1786331919.005,0.9,2.2
1786331919.305,0.9,2.1
1786331919.605,0.9,2.1
1786331919.906,0.7,2.2
1786331920.206,1.0,2.1
1786331920.506,0.7,2.2
1786331920.806,0.9,2.3
1786331921.107,0.8,2.1
1786331921.407,0.9,2.2
1786331921.707,0.9,2.2
1786331922.007,1.0,2.2
1786331922.307,1.0,2.4
1786331922.608,1.0,2.3
1786331922.908,0.9,2.3
1786331923.208,1.0,2.3
1786331923.508,0.9,2.4
1786331923.808,1.0,2.4
1786331924.109,1.0,2.2
1786331924.409,1.0,2.3
1786331924.709,1.0,2.2
1786331925.009,1.2,2.3
1786331925.309,1.1,2.2
1786331925.610,0.9,2.1
1786331925.910,0.7,2.1
1786331926.210,1.0,2.3
1786331926.510,1.0,2.2
1786331926.810,0.9,2.1
1786331927.111,0.8,2.2
1786331927.411,0.8,2.3
1786331927.711,1.1,2.2
1786331928.012,0.9,2.3
1786331928.312,1.0,2.1
1786331928.612,1.0,2.2
1786331928.912,1.0,2.3
1786331929.212,1.1,2.4
1786331929.513,1.0,2.4
1786331929.813,0.9,2.5
1786331930.113,0.8,2.4
1786331930.413,0.8,2.3
1786331930.714,0.8,2.1
1786331931.014,0.9,2.4
1786331931.314,1.1,2.1
1786331931.614,0.9,2.3
1786331931.915,0.9,2.4
1786331932.215,1.0,2.1
1786331932.515,0.9,2.2
1786331932.816,0.8,2.1
1786331933.116,0.7,2.3
1786331933.416,0.9,2.2
1786331933.717,1.0,2.3
1786331934.017,0.9,2.2
1786331934.317,0.9,2.2
1786331934.617,0.8,2.2
1786331934.917,1.0,2.3
1786331935.217,1.2,2.2
1786331935.518,1.1,2.3
1786331935.818,1.1,2.2
1786331936.118,0.7,2.2
1786331936.418,0.8,2.3
1786331936.719,0.9,2.3
1786331937.019,1.0,2.3
1786331937.319,0.9,2.4
1786331937.620,1.0,2.3
1786331937.920,1.1,2.3
1786331938.220,1.1,2.3
1786331938.520,0.9,2.4
1786331938.820,1.0,2.3
1786331939.121,0.9,2.0
1786331939.421,0.8,2.1
1786331939.722,1.1,2.3
1786331940.022,1.0,2.2
1786331940.322,1.0,2.3
1786331940.622,0.7,2.2
1786331940.923,0.8,2.2
1786331941.223,0.9,2.0
1786331941.523,0.8,2.2
1786331941.823,1.1,2.1
1786331942.124,1.2,2.3
1786331942.424,1.2,2.3
1786331942.724,0.9,2.4
1786331943.024,1.1,2.4
1786331943.324,0.9,2.2
1786331943.624,0.9,2.2
1786331943.925,1.2,2.4
