t_s,phase,joint,id,name,cmd_deg,present_deg,err_deg,speed_deg_s,load_pct,current_a,volt,temp_c
0.409,step+10r0,0,2,L0 yaw,9.912,-0.088,10.000,0.00,0.0,0.000,12.10,32.0
0.450,step+10r0,0,2,L0 yaw,9.912,-0.088,10.000,0.00,0.0,0.000,12.10,32.0
2.016,step+10r0,0,2,L0 yaw,9.912,9.932,-0.020,0.00,0.0,0.000,12.10,32.0
2.030,return,0,2,L0 yaw,-0.088,9.932,-10.020,0.00,0.0,0.000,12.10,32.0
2.071,return,0,2,L0 yaw,-0.088,9.932,-10.020,0.00,0.0,0.000,12.10,32.0
2.122,return,0,2,L0 yaw,-0.088,9.316,-9.404,-17.58,3.2,0.006,12.10,32.0
2.162,return,0,2,L0 yaw,-0.088,9.316,-9.404,-17.58,3.2,0.006,12.10,32.0
2.213,return,0,2,L0 yaw,-0.088,7.734,-7.822,-8.79,7.6,0.019,12.10,32.0
2.253,return,0,2,L0 yaw,-0.088,7.734,-7.822,-8.79,7.6,0.019,12.10,32.0
2.321,return,0,2,L0 yaw,-0.088,5.010,-5.098,-21.97,8.8,0.013,12.10,32.0
2.362,return,0,2,L0 yaw,-0.088,5.010,-5.098,-21.97,8.8,0.013,12.10,32.0
2.412,return,0,2,L0 yaw,-0.088,2.197,-2.285,-8.79,10.0,0.026,12.10,32.0
2.453,return,0,2,L0 yaw,-0.088,2.197,-2.285,-8.79,10.0,0.026,12.10,32.0
2.504,return,0,2,L0 yaw,-0.088,0.527,-0.615,8.79,5.2,0.013,12.10,32.0
2.544,return,0,2,L0 yaw,-0.088,0.527,-0.615,8.79,5.2,0.013,12.10,32.0
2.595,return,0,2,L0 yaw,-0.088,0.000,-0.088,4.39,3.6,0.013,12.10,32.0
2.636,return,0,2,L0 yaw,-0.088,0.000,-0.088,4.39,3.6,0.013,12.10,32.0
2.686,return,0,2,L0 yaw,-0.088,-0.176,0.088,8.79,2.0,0.000,12.10,32.0
2.727,return,0,2,L0 yaw,-0.088,-0.176,0.088,8.79,2.0,0.000,12.10,32.0
2.786,step-10r0,0,2,L0 yaw,-10.264,-0.088,-10.176,13.18,2.0,0.006,12.10,32.0
2.827,step-10r0,0,2,L0 yaw,-10.264,-0.088,-10.176,13.18,2.0,0.006,12.10,32.0
2.878,step-10r0,0,2,L0 yaw,-10.264,-0.879,-9.385,4.39,3.6,0.006,12.10,32.0
2.919,step-10r0,0,2,L0 yaw,-10.264,-0.879,-9.385,4.39,3.6,0.006,12.10,32.0
2.969,step-10r0,0,2,L0 yaw,-10.264,-2.812,-7.451,-30.76,6.4,0.026,12.10,32.0
3.010,step-10r0,0,2,L0 yaw,-10.264,-2.812,-7.451,-30.76,6.4,0.026,12.10,32.0
3.071,step-10r0,0,2,L0 yaw,-10.264,-5.713,-4.551,-39.55,0.0,0.000,12.10,32.0
3.112,step-10r0,0,2,L0 yaw,-10.264,-5.713,-4.551,-39.55,0.0,0.000,12.10,32.0
3.163,step-10r0,0,2,L0 yaw,-10.264,-8.525,-1.738,-26.37,0.0,0.000,12.10,32.0
3.203,step-10r0,0,2,L0 yaw,-10.264,-8.525,-1.738,-26.37,0.0,0.000,12.10,32.0
3.254,step-10r0,0,2,L0 yaw,-10.264,-10.195,-0.068,-43.95,2.0,0.000,12.10,32.0
3.295,step-10r0,0,2,L0 yaw,-10.264,-10.195,-0.068,-43.95,2.0,0.000,12.10,32.0
3.346,step-10r0,0,2,L0 yaw,-10.264,-10.635,0.371,-26.37,5.2,0.019,12.10,32.0
3.387,step-10r0,0,2,L0 yaw,-10.264,-10.635,0.371,-26.37,5.2,0.019,12.10,32.0
3.438,step-10r0,0,2,L0 yaw,-10.264,-10.635,0.371,-21.97,5.2,0.019,12.10,32.0
3.478,step-10r0,0,2,L0 yaw,-10.264,-10.635,0.371,-21.97,5.2,0.019,12.10,32.0
3.529,step-10r0,0,2,L0 yaw,-10.264,-10.547,0.283,-13.18,4.4,0.013,12.10,32.0
3.533,return,0,2,L0 yaw,-0.088,-10.547,10.459,-13.18,4.4,0.013,12.10,32.0
3.574,return,0,2,L0 yaw,-0.088,-10.547,10.459,-13.18,4.4,0.013,12.10,32.0
3.641,return,0,2,L0 yaw,-0.088,-10.020,9.932,0.00,7.6,0.013,12.10,32.0
3.681,return,0,2,L0 yaw,-0.088,-10.020,9.932,0.00,7.6,0.013,12.10,32.0
3.732,return,0,2,L0 yaw,-0.088,-8.262,8.174,0.00,14.8,0.052,12.10,32.0
3.773,return,0,2,L0 yaw,-0.088,-8.262,8.174,0.00,14.8,0.052,12.10,32.0
3.824,return,0,2,L0 yaw,-0.088,-5.449,5.361,0.00,14.8,0.052,12.10,32.0
3.864,return,0,2,L0 yaw,-0.088,-5.449,5.361,0.00,14.8,0.052,12.10,32.0
3.931,return,0,2,L0 yaw,-0.088,-2.549,2.461,4.39,9.2,0.033,12.10,32.0
3.971,return,0,2,L0 yaw,-0.088,-2.549,2.461,4.39,9.2,0.033,12.10,32.0
4.022,return,0,2,L0 yaw,-0.088,-0.879,0.791,-8.79,8.8,0.013,12.10,32.0
4.063,return,0,2,L0 yaw,-0.088,-0.879,0.791,-8.79,8.8,0.013,12.10,32.0
4.113,return,0,2,L0 yaw,-0.088,-0.264,0.176,-26.37,3.6,0.013,12.10,32.0
4.154,return,0,2,L0 yaw,-0.088,-0.264,0.176,-26.37,3.6,0.013,12.10,32.0
4.205,return,0,2,L0 yaw,-0.088,0.000,-0.088,0.00,3.2,0.013,12.10,32.0
4.249,step+10r0,1,3,L0 hip,10.000,0.000,10.000,0.00,0.0,0.000,12.20,33.0
4.299,step+10r0,1,3,L0 hip,10.000,0.000,10.000,0.00,3.2,0.006,12.20,33.0
4.340,step+10r0,1,3,L0 hip,10.000,0.000,10.000,0.00,3.2,0.006,12.20,33.0
4.391,step+10r0,1,3,L0 hip,10.000,1.055,8.945,17.58,7.2,0.000,12.20,33.0
4.432,step+10r0,1,3,L0 hip,10.000,1.055,8.945,17.58,7.2,0.000,12.20,33.0
4.483,step+10r0,1,3,L0 hip,10.000,3.252,6.748,26.37,10.4,0.006,12.20,33.0
4.523,step+10r0,1,3,L0 hip,10.000,3.252,6.748,26.37,10.4,0.006,12.20,33.0
4.574,step+10r0,1,3,L0 hip,10.000,6.064,3.936,30.76,10.8,0.000,12.20,33.0
4.615,step+10r0,1,3,L0 hip,10.000,6.064,3.936,30.76,10.8,0.000,12.20,33.0
4.665,step+10r0,1,3,L0 hip,10.000,8.438,1.562,21.97,6.0,0.000,12.10,33.0
4.706,step+10r0,1,3,L0 hip,10.000,8.438,1.562,21.97,6.0,0.000,12.10,33.0
4.757,step+10r0,1,3,L0 hip,10.000,9.668,0.332,4.39,2.4,0.000,12.20,33.0
4.761,return,1,3,L0 hip,0.000,9.668,-9.668,4.39,2.4,0.000,12.20,33.0
4.802,return,1,3,L0 hip,0.000,9.668,-9.668,4.39,2.4,0.000,12.20,33.0
4.853,return,1,3,L0 hip,0.000,9.844,-9.844,0.00,8.4,0.019,12.20,33.0
4.893,return,1,3,L0 hip,0.000,9.844,-9.844,0.00,8.4,0.019,12.20,33.0
4.944,return,1,3,L0 hip,0.000,8.350,-8.350,-21.97,12.4,0.019,12.20,33.0
4.985,return,1,3,L0 hip,0.000,8.350,-8.350,-21.97,12.4,0.019,12.20,33.0
5.051,return,1,3,L0 hip,0.000,5.801,-5.801,-30.76,13.6,0.019,12.10,33.0
5.092,return,1,3,L0 hip,0.000,5.801,-5.801,-30.76,13.6,0.019,12.10,33.0
5.143,return,1,3,L0 hip,0.000,2.637,-2.637,-26.37,10.8,0.019,12.20,33.0
5.183,return,1,3,L0 hip,0.000,2.637,-2.637,-26.37,10.8,0.019,12.20,33.0
5.234,return,1,3,L0 hip,0.000,0.967,-0.967,-17.58,8.0,0.013,12.10,33.0
5.275,return,1,3,L0 hip,0.000,0.967,-0.967,-17.58,8.0,0.013,12.10,33.0
5.325,return,1,3,L0 hip,0.000,0.439,-0.439,-4.39,4.8,0.013,12.20,33.0
5.366,return,1,3,L0 hip,0.000,0.439,-0.439,-4.39,4.8,0.013,12.20,33.0
5.416,return,1,3,L0 hip,0.000,0.439,-0.439,0.00,4.8,0.006,12.20,33.0
5.457,return,1,3,L0 hip,0.000,0.439,-0.439,0.00,4.8,0.006,12.20,33.0
5.515,step-10r0,1,3,L0 hip,-9.561,0.439,-10.000,0.00,5.6,0.013,12.20,33.0
5.556,step-10r0,1,3,L0 hip,-9.561,0.439,-10.000,0.00,5.6,0.013,12.20,33.0
5.607,step-10r0,1,3,L0 hip,-9.561,-0.088,-9.473,-13.18,9.6,0.013,12.10,33.0
5.648,step-10r0,1,3,L0 hip,-9.561,-0.088,-9.473,-13.18,9.6,0.013,12.10,33.0
5.698,step-10r0,1,3,L0 hip,-9.561,-1.846,-7.715,-21.97,13.2,0.026,12.20,33.0
5.739,step-10r0,1,3,L0 hip,-9.561,-1.846,-7.715,-21.97,13.2,0.026,12.20,33.0
5.790,step-10r0,1,3,L0 hip,-9.561,-4.482,-5.078,-30.76,14.8,0.026,12.20,33.0
5.831,step-10r0,1,3,L0 hip,-9.561,-4.482,-5.078,-30.76,14.8,0.026,12.20,33.0
5.881,step-10r0,1,3,L0 hip,-9.561,-7.031,-2.529,-26.37,11.6,0.019,12.20,33.0
5.922,step-10r0,1,3,L0 hip,-9.561,-7.031,-2.529,-26.37,11.6,0.019,12.20,33.0
5.973,step-10r0,1,3,L0 hip,-9.561,-8.701,-0.859,-13.18,7.2,0.013,12.20,33.0
5.977,return,1,3,L0 hip,0.000,-8.701,8.701,-13.18,7.2,0.013,12.20,33.0
