t_unix,bus_ts,tag,q2_deg
1786331498.3360,None,CMD_up2,None
1786331498.4275,1786331498.4249957,up2,79.19
1786331498.4532,1786331498.4510217,up2,79.19
1786331498.4858,1786331498.4833643,up2,79.19
1786331498.5118,1786331498.5094638,up2,79.19
1786331498.5440,1786331498.541537,up2,79.8
1786331498.5705,1786331498.568336,up2,79.8
1786331498.6029,1786331498.600676,up2,80.6
1786331498.6299,1786331498.627455,up2,80.6
1786331498.6641,1786331498.6610553,up2,81.3
1786331498.6910,1786331498.688607,up2,81.3
1786331498.7230,1786331498.7205892,up2,81.21
1786331498.7490,1786331498.746595,up2,81.21
1786331498.7810,1786331498.7784746,up2,81.21
1786331498.8073,1786331498.804991,up2,81.21
1786331498.8408,1786331498.838316,up2,81.21
1786331498.8679,1786331498.8654919,up2,81.21
1786331498.9009,1786331498.898108,up2,81.21
1786331498.9282,1786331498.9257433,up2,81.21
1786331498.9613,1786331498.9589007,up2,81.21
1786331498.9882,1786331498.9858563,up2,81.21
1786331499.0215,1786331499.0186305,up2,81.21
1786331499.0491,1786331499.0464153,up2,81.21
1786331499.0827,1786331499.0803297,up2,81.21
1786331499.1116,1786331499.1091917,up2,81.21
1786331499.1461,1786331499.1429613,up2,81.21
1786331499.1731,1786331499.1706116,up2,81.21
1786331499.2075,1786331499.2041502,up2,81.21
1786331499.2348,1786331499.2314446,up2,81.21
1786331499.2665,1786331499.2640493,up2,81.21
1786331499.2928,1786331499.2906344,up2,81.21
1786331499.3253,1786331499.322756,up2,81.21
1786331499.3528,1786331499.3500757,up2,81.21
1786331499.3858,1786331499.3834875,up2,81.21
1786331499.4132,1786331499.4105854,up2,81.21
1786331499.4456,1786331499.4432003,up2,81.21
1786331499.4731,1786331499.4704673,up2,81.21
1786331499.5074,1786331499.5049593,up2,81.21
1786331499.5344,1786331499.5319986,up2,81.21
1786331499.5673,1786331499.5649,up2,81.21
1786331499.5941,1786331499.5918372,up2,81.21
1786331499.6273,1786331499.6248252,up2,81.21
1786331499.6540,1786331499.6516447,up2,81.21
1786331499.6885,1786331499.6858287,up2,81.21
1786331499.7150,1786331499.7127273,up2,81.21
1786331499.7472,1786331499.7447815,up2,81.21
1786331499.7732,1786331499.7708206,up2,81.21
1786331499.8066,1786331499.80423,up2,81.21
1786331499.8338,1786331499.831311,up2,81.21
1786331499.8668,1786331499.8643067,up2,81.21
1786331499.8936,1786331499.8909414,up2,81.21
1786331499.9263,1786331499.9239342,up2,81.21
1786331499.9538,1786331499.9516096,up2,81.21
1786331499.9869,1786331499.9845214,up2,81.21
1786331500.0142,1786331500.0119393,up2,81.21
1786331500.0490,1786331500.0459228,up2,81.21
1786331500.0766,1786331500.0738,up2,81.21
1786331500.1100,1786331500.1071653,up2,81.21
1786331500.1387,1786331500.136388,up2,81.21
1786331500.1752,1786331500.1723456,up2,81.21
1786331500.2022,1786331500.2000277,up2,81.21
1786331500.2370,1786331500.234617,up2,81.21
1786331500.2634,1786331500.260966,up2,81.21
1786331500.2954,1786331500.2928998,up2,81.21
1786331500.3217,1786331500.3191535,up2,81.21
1786331500.3545,1786331500.3517056,up2,81.21
1786331500.3821,1786331500.3796053,up2,81.21
1786331500.4157,1786331500.41284,up2,81.21
1786331500.4424,1786331500.440267,up2,81.21
1786331500.4756,1786331500.4728456,up2,81.21
1786331500.5033,1786331500.5007124,up2,81.21
1786331500.5364,1786331500.5337167,up2,81.21
1786331500.5631,1786331500.560898,up2,81.21
1786331500.5966,1786331500.59424,up2,81.21
1786331500.6234,1786331500.6208894,up2,81.21
1786331500.6565,1786331500.6534157,up2,81.21
1786331500.6835,1786331500.680925,up2,81.21
1786331500.7168,1786331500.714334,up2,81.21
1786331500.7433,1786331500.7406433,up2,81.21
1786331500.7814,1786331500.778475,up2,81.21
1786331500.8081,1786331500.8056955,up2,81.21
1786331500.8406,1786331500.8379624,up2,81.21
1786331500.8674,1786331500.8649895,up2,81.21
1786331500.9011,1786331500.897667,up2,81.21
1786331500.9284,1786331500.9256368,up2,81.21
1786331500.9619,1786331500.9593365,up2,81.21
1786331500.9892,1786331500.98664,up2,81.21
1786331501.0226,1786331501.020273,up2,81.21
1786331501.0500,1786331501.0476384,up2,81.21
1786331501.0829,1786331501.0805163,up2,81.21
1786331501.1102,1786331501.1078587,up2,81.21
1786331501.1426,1786331501.1402156,up2,81.21
1786331501.1690,1786331501.1665454,up2,81.21
1786331501.2033,1786331501.200182,up2,81.21
1786331501.2286,1786331501.2264426,up2,81.21
1786331501.2606,1786331501.2584333,up2,81.21
1786331501.2865,1786331501.2843804,up2,81.21
1786331501.3199,1786331501.3173091,up2,81.21
1786331501.3460,1786331501.3437119,up2,81.21
1786331501.3800,1786331501.377364,up2,81.21
1786331501.4075,1786331501.40469,up2,81.21
1786331501.4277,None,CMD_dn2,None
1786331501.4722,1786331501.4694664,dn2,81.21
1786331501.5054,1786331501.502242,dn2,81.21
1786331501.5328,1786331501.530215,dn2,81.21
1786331501.5663,1786331501.5635192,dn2,80.42
1786331501.5944,1786331501.5915804,dn2,80.42
1786331501.6270,1786331501.6247149,dn2,79.45
1786331501.6543,1786331501.6514714,dn2,79.45
1786331501.6874,1786331501.6848407,dn2,79.19
1786331501.7139,1786331501.7116036,dn2,79.19
1786331501.7456,1786331501.743188,dn2,79.19
1786331501.7720,1786331501.7697387,dn2,79.19
1786331501.8057,1786331501.802917,dn2,79.19
1786331501.8333,1786331501.8307378,dn2,79.19
1786331501.8666,1786331501.863891,dn2,79.19
1786331501.8938,1786331501.8916638,dn2,79.19
1786331501.9267,1786331501.9242008,dn2,79.19
1786331501.9540,1786331501.9517174,dn2,79.19
1786331501.9885,1786331501.9855611,dn2,79.19
1786331502.0155,1786331502.01276,dn2,79.19
1786331502.0493,1786331502.046639,dn2,79.19
1786331502.0765,1786331502.0738716,dn2,79.19
1786331502.1100,1786331502.107154,dn2,79.19
1786331502.1370,1786331502.134358,dn2,79.19
1786331502.1699,1786331502.1674829,dn2,79.19
1786331502.1965,1786331502.1942785,dn2,79.19
1786331502.2279,1786331502.2255242,dn2,79.19
1786331502.2536,1786331502.2512362,dn2,79.19
1786331502.2857,1786331502.283408,dn2,79.19
1786331502.3124,1786331502.3097932,dn2,79.19
1786331502.3458,1786331502.3427749,dn2,79.19
1786331502.3731,1786331502.3706007,dn2,79.19
1786331502.4074,1786331502.4041739,dn2,79.19
1786331502.4338,1786331502.4316626,dn2,79.19
1786331502.4667,1786331502.4641895,dn2,79.19
1786331502.4928,1786331502.4905946,dn2,79.19
1786331502.5260,1786331502.5232913,dn2,79.19
1786331502.5536,1786331502.5510206,dn2,79.19
1786331502.5890,1786331502.5861428,dn2,79.19
1786331502.6158,1786331502.6132798,dn2,79.19
1786331502.6491,1786331502.6461625,dn2,79.19
1786331502.6772,1786331502.6743512,dn2,79.19
1786331502.7113,1786331502.7085836,dn2,79.19
1786331502.7380,1786331502.7357275,dn2,79.19
1786331502.7708,1786331502.7683513,dn2,79.19
1786331502.7970,1786331502.794675,dn2,79.19
1786331502.8299,1786331502.8272517,dn2,79.19
1786331502.8571,1786331502.8547513,dn2,79.19
1786331502.8903,1786331502.8880312,dn2,79.19
1786331502.9172,1786331502.914412,dn2,79.19
1786331502.9495,1786331502.9471507,dn2,79.19
1786331502.9756,1786331502.973265,dn2,79.19
1786331503.0089,1786331503.0062268,dn2,79.19
1786331503.0347,1786331503.0323424,dn2,79.19
1786331503.0666,1786331503.064291,dn2,79.19
1786331503.0940,1786331503.0912755,dn2,79.19
1786331503.1268,1786331503.124104,dn2,79.19
1786331503.1537,1786331503.1514306,dn2,79.19
1786331503.1861,1786331503.183987,dn2,79.19
1786331503.2134,1786331503.2106686,dn2,79.19
1786331503.2396,1786331503.237182,dn2,79.19
1786331503.2708,1786331503.2685223,dn2,79.19
1786331503.2971,1786331503.2944922,dn2,79.19
1786331503.3295,1786331503.327133,dn2,79.19
1786331503.3566,1786331503.3539922,dn2,79.19
1786331503.3901,1786331503.386932,dn2,79.19
1786331503.4165,1786331503.4143848,dn2,79.19
1786331503.4486,1786331503.446101,dn2,79.19
1786331503.4757,1786331503.47291,dn2,79.19
1786331503.5095,1786331503.5066955,dn2,79.19
1786331503.5365,1786331503.5342338,dn2,79.19
1786331503.5705,1786331503.5681045,dn2,79.19
1786331503.5973,1786331503.5948062,dn2,79.19
1786331503.6300,1786331503.6273248,dn2,79.19
1786331503.6572,1786331503.6548805,dn2,79.19
1786331503.6906,1786331503.6878114,dn2,79.19
1786331503.7182,1786331503.7157834,dn2,79.19
1786331503.7499,1786331503.747602,dn2,79.19
1786331503.7759,1786331503.7736077,dn2,79.19
1786331503.8079,1786331503.8054187,dn2,79.19
1786331503.8336,1786331503.831475,dn2,79.19
1786331503.8669,1786331503.8641918,dn2,79.19
1786331503.8939,1786331503.8918993,dn2,79.19
1786331503.9265,1786331503.9241817,dn2,79.19
1786331503.9525,1786331503.9503753,dn2,79.19
1786331503.9853,1786331503.9828324,dn2,79.19
1786331504.0124,1786331504.0098832,dn2,79.19
1786331504.0457,1786331504.0429323,dn2,79.19
1786331504.0726,1786331504.0699058,dn2,79.19
1786331504.1054,1786331504.1029112,dn2,79.19
1786331504.1320,1786331504.1294878,dn2,79.19
1786331504.1643,1786331504.1620886,dn2,79.19
1786331504.1914,1786331504.188668,dn2,79.19
1786331504.2228,1786331504.2206247,dn2,79.19
1786331504.2489,1786331504.2465873,dn2,79.19
1786331504.2815,1786331504.2789154,dn2,79.19
1786331504.3077,1786331504.3052855,dn2,79.19
1786331504.3403,1786331504.337479,dn2,79.19
1786331504.3665,1786331504.3639915,dn2,79.19
1786331504.4001,1786331504.3972423,dn2,79.19
1786331504.4263,1786331504.4241033,dn2,79.19
1786331504.4598,1786331504.4568524,dn2,79.19
1786331504.4800,None,CMD_up5,None
1786331504.4985,1786331504.4966254,up5,79.19
1786331504.5314,1786331504.5289843,up5,79.19
1786331504.5582,1786331504.5559373,up5,79.19
1786331504.5920,1786331504.589089,up5,79.45
1786331504.6193,1786331504.6168242,up5,79.45
1786331504.6523,1786331504.6495936,up5,80.68
1786331504.6797,1786331504.6771235,up5,80.68
1786331504.7131,1786331504.7104118,up5,82.62
1786331504.7388,1786331504.7365952,up5,82.62
1786331504.7709,1786331504.768424,up5,83.94
1786331504.7972,1786331504.7947145,up5,83.94
1786331504.8294,1786331504.8270335,up5,84.02
