t_unix,roll_deg,pitch_deg
1786368576.145,0.96,2.92
1786368576.599,-1.19,7.93
1786368576.747,0.53,-3.54
1786368577.202,-1.64,2.67
1786368577.447,-2.34,5.98
1786368577.868,-3.68,-1.01
1786368577.964,-2.67,2.44
1786368578.265,3.15,-1.31
1786368578.674,-1.9,-3.39
1786368578.985,-2.4,8.35
1786368579.303,-0.99,1.01
1786368579.521,-6.48,11.65
1786368579.902,-3.4,3.29
1786368580.322,-0.11,4.21
1786368580.395,0.45,10.9
1786368580.742,2.53,-0.58
1786368581.028,-2.54,3.61
1786368581.375,0.0,6.58
1786368581.64,4.96,1.15
1786368581.952,-1.85,4.81
1786368582.272,5.38,-6.45
1786368582.582,-2.4,1.87
1786368582.818,2.79,0.67
1786368583.178,3.66,-0.93
1786368583.486,-3.31,7.72
1786368583.72,5.53,-2.55
1786368584.102,0.01,0.4
1786368584.517,2.78,-1.51
1786368584.63,2.9,-3.36
1786368585.106,1.8,-1.84
1786368585.239,0.14,5.34
1786368585.636,-1.06,4.31
1786368585.959,-1.33,1.5
1786368586.265,3.79,9.74
1786368586.65,2.14,1.13
1786368586.752,2.63,5.96
1786368587.172,-0.48,5.48
