t_unix,roll_deg,pitch_deg
1786368769.677,0.7,2.61
1786368769.977,0.85,-0.19
1786368770.368,2.65,3.66
1786368770.686,-2.82,8.14
1786368771.074,0.93,-0.08
1786368771.185,2.5,5.14
1786368771.595,-1.88,2.11
1786368771.905,4.74,-0.26
1786368772.21,-4.52,3.59
1786368772.448,-0.65,-1.74
1786368772.723,0.48,7.03
1786368773.029,5.67,0.92
1786368773.336,-0.72,7.97
1786368773.644,-6.5,1.93
1786368773.951,1.47,-3.28
1786368774.263,2.22,7.39
1786368774.565,3.59,-0.21
1786368774.888,5.4,3.22
1786368775.178,-0.71,2.3
1786368775.517,-1.92,-2.97
1786368775.793,3.38,1.26
1786368776.069,1.89,0.75
1786368776.406,2.51,-7.07
1786368776.716,-2.68,1.62
1786368777.117,-1.17,7.02
1786368777.244,5.28,2.7
1786368777.731,-3.41,12.78
1786368777.855,5.23,-5.02
1786368778.185,0.04,5.04
1786368778.575,2.71,1.68
1786368778.886,2.61,5.54
1786368779.172,-5.88,-1.26
1786368779.572,1.48,2.68
1786368779.676,3.6,-1.05
1786368780.094,2.98,0.67
1786368780.401,1.98,3.14
1786368780.586,1.52,0.95
