t_unix,roll_deg,pitch_deg
1786369251.615,0.07,3.66
1786369252.057,3.93,4.22
1786369252.277,-2.99,3.65
1786369252.524,1.55,4.27
1786369252.88,2.68,5.97
1786369253.184,-2.01,1.6
1786369253.493,2.42,9.29
1786369253.8,-6.57,4.12
1786369254.106,-0.32,13.46
1786369254.413,-1.62,4.2
1786369254.721,-1.98,6.89
1786369255.03,3.14,0.09
1786369255.335,-4.37,2.87
1786369255.643,8.29,5.9
1786369255.953,4.38,4.64
1786369256.267,-4.29,6.98
1786369256.541,0.65,-2.63
1786369256.92,-5.27,12.53
1786369257.178,-2.52,-3.07
1786369257.486,1.22,2.79
1786369257.793,-4.53,7.33
1786369257.997,4.81,0.4
1786369258.304,-14.05,-0.19
1786369258.584,-3.94,4.18
1786369258.928,-2.7,5.25
1786369259.226,-2.74,3.47
1786369259.533,9.79,-1.82
1786369259.841,2.61,-5.43
1786369260.147,-2.59,6.75
1786369260.457,1.02,13.79
1786369260.699,-4.68,8.41
1786369261.07,14.54,11.42
1786369261.377,-4.85,-4.2
1786369261.701,2.85,3.25
1786369261.991,2.57,3.95
1786369262.349,-6.23,9.75
1786369262.606,-2.45,5.99
