t_unix,roll_deg,pitch_deg
1786369574.758,0.17,3.7
1786369575.229,1.79,10.05
1786369575.359,0.33,7.19
1786369575.769,5.3,10.76
1786369575.962,-1.01,-0.25
1786369576.46,0.99,7.45
1786369576.572,3.32,3.8
1786369577.176,4.74,2.18
1786369577.29,2.42,8.11
1786369577.694,3.83,6.36
1786369577.908,-2.86,-6.47
1786369578.404,-1.32,7.53
1786369578.501,-2.43,-1.38
1786369578.838,0.13,6.06
1786369579.128,-0.03,-5.29
1786369579.418,-4.02,1.08
1786369579.75,-1.05,0.15
1786369580.015,-5.2,-6.69
1786369580.36,-5.02,10.96
1786369580.664,3.41,0.76
1786369580.995,0.31,15.31
1786369581.277,1.19,-0.87
1786369581.586,-2.25,1.23
1786369581.892,-1.35,2.86
1786369582.21,-3.05,6.47
1786369582.51,-1.46,4.11
1786369582.845,3.75,6.11
1786369583.322,-0.09,12.21
1786369583.372,-3.48,9.14
1786369583.736,2.22,2.52
1786369583.968,6.16,3.72
1786369584.435,1.76,4.27
1786369584.657,3.25,14.68
1786369584.879,-2.05,-0.94
1786369585.271,4.26,5.28
1786369585.487,0.87,4.15
1786369585.885,2.44,3.99
